baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.8,1.0,1.0,1.0,0.92
0.8,1.0,1.0,1.0,0.94
0.78,1.0,1.0,1.0,0.94
0.76,0.96,0.96,1.0,0.94
0.78,1.0,1.0,1.0,0.94
0.76,0.96,0.96,1.0,0.94
0.76,0.96,0.96,1.0,0.92
0.74,0.93,0.93,1.0,0.92
0.74,0.93,0.93,1.0,0.92
0.72,0.89,0.89,1.0,0.92
0.72,0.89,0.89,1.0,0.92
0.7,0.86,0.86,1.0,0.92
0.72,0.89,0.89,1.0,0.92
0.72,0.89,0.89,1.0,0.92
0.72,0.89,0.89,1.0,0.92
0.7,0.86,0.86,1.0,0.92
0.7,0.86,0.86,1.0,0.92
0.7,0.86,0.86,1.0,0.9
0.68,0.82,0.82,1.0,0.9
0.68,0.82,0.82,1.0,0.88
0.7,0.86,0.86,1.0,0.88
0.68,0.82,0.82,1.0,0.9
0.68,0.82,0.82,1.0,0.9
0.7,0.86,0.86,1.0,0.9
0.7,0.86,0.86,1.0,0.9
0.7,0.86,0.86,1.0,0.9
0.7,0.86,0.86,1.0,0.88
0.7,0.86,0.86,1.0,0.88
0.7,0.86,0.86,1.0,0.88
0.72,0.89,0.89,1.0,0.88
0.7,0.86,0.86,1.0,0.88
0.7,0.86,0.86,1.0,0.86
0.7,0.86,0.86,1.0,0.86
0.68,0.82,0.82,1.0,0.84
0.68,0.82,0.82,1.0,0.84
0.68,0.82,0.82,1.0,0.84
0.66,0.79,0.79,1.0,0.82
0.66,0.79,0.79,1.0,0.82
0.66,0.79,0.79,1.0,0.84
0.66,0.79,0.79,1.0,0.84
0.66,0.79,0.79,1.0,0.84
0.66,0.79,0.79,1.0,0.84
0.68,0.82,0.82,1.0,0.84
0.66,0.79,0.79,1.0,0.82
0.66,0.79,0.76,1.0,0.82
0.66,0.79,0.76,1.0,0.82
0.66,0.79,0.76,1.0,0.82
0.66,0.79,0.76,1.0,0.82
0.66,0.79,0.76,1.0,0.8
0.66,0.79,0.79,1.0,0.8
0.66,0.79,0.79,1.0,0.8
0.66,0.79,0.79,1.0,0.8
0.68,0.82,0.82,1.0,0.8
0.68,0.82,0.82,1.0,0.8
0.68,0.82,0.82,1.0,0.8
0.7,0.86,0.86,1.0,0.8
0.7,0.86,0.86,1.0,0.8
0.72,0.89,0.89,1.0,0.82
0.72,0.89,0.89,1.0,0.8
0.74,0.93,0.93,1.0,0.8
0.74,0.93,0.93,1.0,0.8
0.76,0.96,0.96,1.0,0.8
0.76,0.96,0.96,1.0,0.78
0.76,0.96,0.96,1.0,0.78
0.78,1.0,1.0,1.0,0.78
0.78,1.0,1.0,1.0,0.76
0.78,1.0,1.0,1.0,0.76
0.78,1.0,1.0,1.0,0.76
0.8,1.0,1.0,1.0,0.78
0.78,1.0,1.0,1.0,0.78
0.78,1.0,1.0,1.0,0.8
0.8,1.0,1.0,1.0,0.8
0.8,1.0,1.0,1.0,0.8
0.8,1.0,1.0,1.0,0.8
0.78,1.0,1.0,1.0,0.8
0.78,1.0,1.0,1.0,0.8
0.78,1.0,1.0,1.0,0.8
0.78,1.0,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.86
0.82,1.0,1.0,1.0,0.86
0.84,1.0,1.0,1.0,0.86
0.82,1.0,1.0,1.0,0.86
0.82,1.0,1.0,1.0,0.86
0.82,1.0,1.0,1.0,0.86
0.8,1.0,1.0,1.0,0.86
0.8,1.0,1.0,1.0,0.86
0.78,1.0,1.0,1.0,0.86
0.78,1.0,1.0,1.0,0.86
0.8,1.0,1.0,1.0,0.88
0.78,1.0,1.0,1.0,0.86
0.76,0.96,0.96,1.0,0.86
0.76,0.96,0.96,1.0,0.86
0.74,0.93,0.93,1.0,0.84
0.76,0.96,0.96,1.0,0.86
0.74,0.93,0.93,1.0,0.84
0.74,0.93,0.93,1.0,0.84
0.72,0.89,0.89,1.0,0.84
0.74,0.93,0.93,1.0,0.84
0.74,0.93,0.93,1.0,0.84
0.74,0.93,0.93,1.0,0.84
0.76,0.96,0.96,1.0,0.84
0.76,0.96,0.96,1.0,0.84
0.76,0.96,0.96,1.0,0.84
0.76,0.96,0.96,1.0,0.86
0.76,0.96,0.96,1.0,0.84
0.76,0.96,0.96,1.0,0.84
0.74,0.93,0.93,1.0,0.84
0.74,0.93,0.93,1.0,0.86
0.74,0.93,0.93,1.0,0.86
0.76,0.96,0.96,1.0,0.86
0.74,0.93,0.93,1.0,0.86
0.74,0.93,0.93,1.0,0.86
0.74,0.93,0.93,1.0,0.86
0.76,0.96,0.96,1.0,0.86
0.76,0.96,0.96,1.0,0.86
0.76,0.96,0.96,1.0,0.86
0.76,0.96,0.96,1.0,0.86
0.76,0.96,0.96,1.0,0.86
0.78,1.0,1.0,1.0,0.86
0.78,1.0,1.0,1.0,0.86
0.78,1.0,1.0,1.0,0.86
0.78,1.0,1.0,1.0,0.86
0.76,0.96,0.96,1.0,0.84
0.76,0.96,0.96,1.0,0.82
0.76,0.96,0.96,1.0,0.8
0.74,0.93,0.93,1.0,0.8
0.74,0.93,0.93,1.0,0.82
0.74,0.93,0.93,1.0,0.82
0.72,0.89,0.89,1.0,0.82
0.72,0.89,0.89,1.0,0.82
0.72,0.89,0.89,1.0,0.82
0.72,0.89,0.89,1.0,0.8
0.72,0.89,0.93,1.0,0.82
0.72,0.89,0.93,1.0,0.8
0.74,0.93,0.96,1.0,0.8
0.74,0.93,0.96,1.0,0.78
0.74,0.93,0.96,1.0,0.78
0.76,0.96,1.0,1.0,0.78
0.74,0.93,0.96,1.0,0.78
0.76,0.96,1.0,1.0,0.78
0.78,1.0,1.0,1.0,0.8
0.78,1.0,1.0,1.0,0.78
0.78,1.0,1.0,1.0,0.78
0.76,0.96,1.0,1.0,0.8
0.76,0.96,0.96,1.0,0.78
0.76,0.96,0.96,1.0,0.8
0.78,1.0,1.0,1.0,0.8
0.76,0.96,0.96,1.0,0.78
0.76,0.96,0.96,1.0,0.78
0.74,0.93,0.93,1.0,0.78
0.74,0.93,0.93,1.0,0.78
0.74,0.93,0.93,1.0,0.78
0.74,0.93,0.93,1.0,0.78
0.72,0.89,0.89,0.99,0.78
0.72,0.89,0.89,1.0,0.78
0.72,0.89,0.88,1.0,0.8
0.74,0.93,0.91,1.0,0.8
0.74,0.93,0.91,1.0,0.8
0.72,0.89,0.88,0.99,0.8
0.72,0.89,0.88,0.99,0.8
0.74,0.93,0.91,1.0,0.8
0.74,0.93,0.91,1.0,0.82
0.74,0.93,0.91,1.0,0.82
0.74,0.93,0.91,1.0,0.82
0.74,0.93,0.91,1.0,0.82
0.74,0.93,0.91,1.0,0.82
0.74,0.93,0.91,1.0,0.82
0.72,0.89,0.89,0.99,0.8
0.7,0.86,0.86,0.98,0.8
0.7,0.86,0.86,0.98,0.78
0.68,0.82,0.82,0.97,0.78
0.68,0.82,0.82,0.98,0.78
0.7,0.86,0.86,1.0,0.78
0.7,0.86,0.86,1.0,0.8
0.7,0.86,0.86,1.0,0.8
0.72,0.89,0.89,1.0,0.82
0.7,0.86,0.86,1.0,0.8
0.7,0.86,0.86,1.0,0.8
0.72,0.89,0.89,1.0,0.8
0.72,0.89,0.89,1.0,0.8
0.7,0.86,0.86,1.0,0.8
0.7,0.86,0.86,1.0,0.8
0.68,0.82,0.82,1.0,0.8
0.68,0.82,0.82,1.0,0.8
0.66,0.79,0.79,0.99,0.82
0.64,0.75,0.75,0.98,0.8
0.66,0.79,0.79,0.99,0.8
0.66,0.79,0.79,0.99,0.8
0.66,0.79,0.82,0.99,0.78
0.66,0.79,0.82,0.99,0.76
0.66,0.79,0.82,0.99,0.75
0.64,0.75,0.79,0.98,0.75
0.66,0.79,0.82,0.99,0.76
0.66,0.79,0.82,0.99,0.76
0.68,0.82,0.86,1.0,0.76
0.66,0.79,0.82,0.99,0.78
0.66,0.79,0.82,0.98,0.78
0.68,0.82,0.86,1.0,0.78
0.68,0.82,0.82,1.0,0.8
0.7,0.86,0.86,1.0,0.8
0.7,0.86,0.86,1.0,0.8
0.7,0.86,0.86,1.0,0.8
0.68,0.82,0.82,1.0,0.8
0.7,0.86,0.86,1.0,0.8
0.68,0.82,0.82,1.0,0.8
0.66,0.79,0.82,1.0,0.78
0.66,0.79,0.82,1.0,0.78
0.64,0.75,0.79,0.98,0.78
0.64,0.75,0.79,0.99,0.78
0.64,0.75,0.79,0.99,0.78
0.62,0.72,0.75,0.99,0.78
0.62,0.72,0.75,1.0,0.78
0.6,0.68,0.71,0.99,0.78
0.6,0.68,0.72,0.99,0.78
0.58,0.65,0.68,0.98,0.78
0.58,0.65,0.7,0.99,0.78
0.56,0.61,0.66,0.98,0.76
0.56,0.61,0.66,0.97,0.76
0.58,0.65,0.7,0.98,0.78
0.56,0.61,0.66,0.97,0.78
0.58,0.65,0.7,0.98,0.8
0.58,0.65,0.7,0.98,0.8
0.58,0.65,0.68,0.95,0.78
0.58,0.65,0.68,0.95,0.78
0.58,0.65,0.68,0.95,0.76
0.58,0.65,0.68,0.97,0.78
0.58,0.65,0.68,0.97,0.76
0.56,0.61,0.65,0.94,0.76
0.56,0.61,0.65,0.97,0.76
0.56,0.61,0.65,0.97,0.76
0.58,0.65,0.68,0.99,0.76
0.58,0.65,0.68,0.98,0.75
0.6,0.68,0.72,0.99,0.75
0.6,0.68,0.72,1.0,0.76
0.62,0.72,0.75,1.0,0.75
0.64,0.75,0.79,1.0,0.75
0.64,0.75,0.79,1.0,0.76
0.62,0.72,0.77,1.0,0.76
0.62,0.72,0.75,1.0,0.76
0.62,0.72,0.75,1.0,0.78
0.62,0.72,0.75,1.0,0.8
0.62,0.72,0.75,1.0,0.82
0.6,0.68,0.72,1.0,0.82
0.62,0.72,0.75,1.0,0.82
0.6,0.68,0.72,1.0,0.82
0.62,0.72,0.75,1.0,0.82
0.62,0.72,0.75,1.0,0.82
0.62,0.72,0.75,1.0,0.82
0.62,0.72,0.75,1.0,0.82
0.62,0.72,0.75,1.0,0.82
0.62,0.72,0.75,1.0,0.82
0.6,0.68,0.71,1.0,0.82
0.6,0.68,0.71,1.0,0.82
0.58,0.65,0.7,1.0,0.82
0.6,0.68,0.73,1.0,0.82
0.62,0.72,0.75,1.0,0.82
0.62,0.72,0.75,1.0,0.84
0.62,0.72,0.75,1.0,0.84
0.64,0.75,0.79,1.0,0.84
0.64,0.75,0.79,1.0,0.82
0.64,0.75,0.79,1.0,0.8
0.64,0.75,0.79,1.0,0.8
0.66,0.79,0.82,1.0,0.8
0.66,0.79,0.82,1.0,0.8
0.68,0.82,0.86,1.0,0.8
0.68,0.82,0.86,1.0,0.8
0.7,0.86,0.89,1.0,0.8
0.7,0.86,0.89,1.0,0.8
0.7,0.86,0.89,1.0,0.8
0.72,0.89,0.93,1.0,0.8
0.72,0.89,0.93,1.0,0.8
0.7,0.86,0.89,1.0,0.78
0.7,0.86,0.86,1.0,0.78
0.7,0.86,0.86,1.0,0.8
0.7,0.86,0.86,1.0,0.8
0.7,0.86,0.86,1.0,0.8
0.72,0.89,0.89,1.0,0.78
0.72,0.89,0.89,1.0,0.8
0.7,0.86,0.86,1.0,0.8
0.7,0.86,0.86,1.0,0.8
0.7,0.86,0.86,1.0,0.8
0.72,0.89,0.89,1.0,0.78
0.72,0.89,0.89,1.0,0.78
0.72,0.89,0.89,1.0,0.76
0.72,0.89,0.89,1.0,0.76
0.72,0.89,0.89,1.0,0.78
0.72,0.89,0.89,1.0,0.78
0.74,0.93,0.93,1.0,0.78
0.76,0.96,0.96,1.0,0.8
0.76,0.96,0.96,1.0,0.8
0.76,0.96,0.96,1.0,0.8
0.76,0.96,0.96,1.0,0.78
0.78,1.0,1.0,1.0,0.76
0.78,1.0,1.0,1.0,0.76
0.8,1.0,1.0,1.0,0.76
0.8,1.0,1.0,1.0,0.76
0.8,1.0,1.0,1.0,0.76
0.8,1.0,1.0,1.0,0.76
0.8,1.0,1.0,1.0,0.76
0.78,1.0,1.0,1.0,0.76
0.78,1.0,1.0,1.0,0.76
0.8,1.0,1.0,1.0,0.76
0.82,1.0,1.0,1.0,0.76
0.84,1.0,1.0,1.0,0.76
0.84,1.0,1.0,1.0,0.76
0.84,1.0,1.0,1.0,0.75
0.84,1.0,1.0,1.0,0.75
0.86,1.0,1.0,1.0,0.75
0.86,1.0,1.0,1.0,0.75
0.86,1.0,1.0,1.0,0.73
0.88,1.0,1.0,1.0,0.73
0.88,1.0,1.0,1.0,0.75
0.88,1.0,1.0,1.0,0.75
0.86,1.0,1.0,1.0,0.73
0.86,1.0,1.0,1.0,0.73
0.86,1.0,1.0,1.0,0.73
0.86,1.0,1.0,1.0,0.73
0.86,1.0,1.0,1.0,0.73
0.86,1.0,1.0,1.0,0.75
0.84,1.0,1.0,1.0,0.75
0.84,1.0,1.0,1.0,0.75
0.86,1.0,1.0,1.0,0.75
0.86,1.0,1.0,1.0,0.76
0.86,1.0,1.0,1.0,0.76
0.86,1.0,1.0,1.0,0.76
0.84,1.0,1.0,1.0,0.75
0.84,1.0,1.0,1.0,0.76
0.84,1.0,1.0,1.0,0.76
0.86,1.0,1.0,1.0,0.76
0.86,1.0,1.0,1.0,0.78
0.86,1.0,1.0,1.0,0.78
0.86,1.0,1.0,1.0,0.78
0.86,1.0,1.0,1.0,0.8
0.86,1.0,1.0,1.0,0.82
0.86,1.0,1.0,1.0,0.84
0.84,1.0,1.0,1.0,0.82
0.82,1.0,1.0,1.0,0.82
0.82,1.0,1.0,1.0,0.82
0.82,1.0,1.0,1.0,0.82
0.82,1.0,1.0,1.0,0.82
0.82,1.0,1.0,1.0,0.82
0.84,1.0,1.0,1.0,0.82
0.84,1.0,1.0,1.0,0.82
0.84,1.0,1.0,1.0,0.84
0.84,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.82
0.82,1.0,1.0,1.0,0.82
0.82,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.8
0.8,1.0,1.0,1.0,0.8
0.8,1.0,1.0,1.0,0.8
0.78,1.0,1.0,1.0,0.78
0.78,1.0,1.0,1.0,0.78
0.78,1.0,1.0,1.0,0.8
0.78,1.0,1.0,1.0,0.8
0.78,1.0,1.0,1.0,0.8
0.78,1.0,1.0,1.0,0.78
0.76,0.96,1.0,1.0,0.8
0.76,0.96,1.0,1.0,0.82
0.76,0.96,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.84
0.76,0.96,1.0,1.0,0.84
0.76,0.96,1.0,1.0,0.84
0.78,1.0,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.82
0.76,0.96,1.0,1.0,0.8
0.76,0.96,1.0,1.0,0.8
0.78,1.0,1.0,1.0,0.8
0.78,1.0,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.8
0.78,1.0,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.82
0.76,0.96,1.0,1.0,0.8
0.76,0.96,1.0,1.0,0.8
0.76,0.96,1.0,1.0,0.8
0.76,0.96,1.0,1.0,0.8
0.76,0.96,1.0,1.0,0.8
0.78,1.0,1.0,1.0,0.8
0.8,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.82
0.76,0.96,1.0,1.0,0.8
0.76,0.96,1.0,1.0,0.78
0.76,0.96,1.0,1.0,0.78
0.74,0.93,0.96,1.0,0.8
0.74,0.93,0.96,1.0,0.8
0.76,0.96,0.96,1.0,0.8
0.76,0.96,0.96,1.0,0.8
0.74,0.93,0.93,1.0,0.78
0.72,0.89,0.91,1.0,0.76
0.74,0.93,0.94,1.0,0.78
0.74,0.93,0.96,1.0,0.78
0.74,0.93,0.96,1.0,0.78
0.74,0.93,0.96,1.0,0.8
0.72,0.89,0.93,1.0,0.8
0.74,0.93,0.96,1.0,0.8
0.72,0.89,0.93,1.0,0.8
0.7,0.86,0.89,1.0,0.8
0.7,0.86,0.89,1.0,0.8
0.7,0.86,0.89,1.0,0.8
0.68,0.82,0.87,1.0,0.8
0.7,0.86,0.91,1.0,0.82
0.7,0.86,0.91,1.0,0.82
0.7,0.86,0.95,1.0,0.82
0.7,0.86,0.95,1.0,0.82
0.68,0.82,0.93,1.0,0.82
0.7,0.86,0.95,1.0,0.82
0.68,0.82,0.91,1.0,0.8
0.68,0.82,0.91,1.0,0.8
0.68,0.82,0.91,1.0,0.82
0.7,0.86,0.95,1.0,0.82
0.7,0.86,0.95,1.0,0.82
0.68,0.82,0.91,1.0,0.82
0.68,0.82,0.91,1.0,0.82
0.7,0.86,0.94,1.0,0.82
0.7,0.86,0.93,1.0,0.84
0.7,0.86,0.93,1.0,0.82
0.68,0.82,0.89,1.0,0.82
0.7,0.86,0.93,1.0,0.82
0.7,0.86,0.93,1.0,0.84
0.7,0.86,0.93,1.0,0.84
0.72,0.89,0.95,1.0,0.84
0.72,0.89,0.91,1.0,0.84
0.7,0.86,0.88,1.0,0.82
0.68,0.82,0.84,0.98,0.8
0.66,0.79,0.8,0.96,0.8
0.66,0.79,0.8,0.97,0.8
0.64,0.75,0.77,0.95,0.8
0.64,0.75,0.77,0.94,0.8
0.64,0.75,0.77,0.94,0.8
0.66,0.79,0.8,0.96,0.8
0.68,0.82,0.82,0.97,0.8
0.66,0.79,0.79,0.95,0.82
0.66,0.79,0.79,0.95,0.84
0.68,0.82,0.82,0.96,0.84
0.68,0.82,0.82,0.96,0.84
0.68,0.82,0.84,0.97,0.84
0.68,0.82,0.84,0.96,0.84
0.7,0.86,0.88,0.97,0.84
0.72,0.89,0.89,0.98,0.86
0.72,0.89,0.89,0.98,0.88
0.72,0.89,0.89,0.98,0.88
0.74,0.93,0.93,0.99,0.88
0.74,0.93,0.93,0.99,0.88
0.76,0.96,0.96,1.0,0.88
0.76,0.96,0.96,1.0,0.88
0.76,0.96,0.96,1.0,0.88
0.78,1.0,1.0,1.0,0.9
0.76,0.96,0.98,1.0,0.88
0.76,0.96,0.98,1.0,0.88
0.78,1.0,1.0,1.0,0.86
0.78,1.0,1.0,1.0,0.86
0.76,0.96,0.98,1.0,0.84
0.76,0.96,0.98,1.0,0.84
0.76,0.96,0.98,1.0,0.84
0.78,1.0,1.0,1.0,0.84
0.78,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.8
0.8,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.8
0.8,1.0,1.0,1.0,0.8
0.8,1.0,1.0,1.0,0.8
0.82,1.0,1.0,1.0,0.8
0.82,1.0,1.0,1.0,0.8
0.82,1.0,1.0,1.0,0.8
0.82,1.0,1.0,1.0,0.8
0.82,1.0,1.0,1.0,0.8
0.84,1.0,1.0,1.0,0.8
0.84,1.0,1.0,1.0,0.8
0.84,1.0,1.0,1.0,0.8
0.84,1.0,1.0,1.0,0.8
0.84,1.0,1.0,1.0,0.8
0.84,1.0,1.0,1.0,0.8
0.86,1.0,1.0,1.0,0.8
0.86,1.0,1.0,1.0,0.8
0.88,1.0,1.0,1.0,0.82
0.88,1.0,1.0,1.0,0.82
0.88,1.0,1.0,1.0,0.82
0.88,1.0,1.0,1.0,0.82
0.88,1.0,1.0,1.0,0.82
0.88,1.0,1.0,1.0,0.82
0.88,1.0,1.0,1.0,0.82
0.9,1.0,1.0,1.0,0.82
0.88,1.0,1.0,1.0,0.82
0.88,1.0,1.0,1.0,0.8
0.86,1.0,1.0,1.0,0.8
0.86,1.0,1.0,1.0,0.8
0.86,1.0,1.0,1.0,0.8
0.86,1.0,1.0,1.0,0.8
0.86,1.0,1.0,1.0,0.8
0.84,1.0,1.0,1.0,0.8
0.84,1.0,1.0,1.0,0.8
0.84,1.0,1.0,1.0,0.8
0.82,1.0,1.0,1.0,0.78
0.82,1.0,1.0,1.0,0.78
0.82,1.0,1.0,1.0,0.78
0.84,1.0,1.0,1.0,0.78
0.82,1.0,1.0,1.0,0.78
0.82,1.0,1.0,1.0,0.76
0.8,1.0,1.0,1.0,0.78
0.78,1.0,1.0,1.0,0.76
0.78,1.0,1.0,1.0,0.78
0.8,1.0,1.0,1.0,0.76
0.78,1.0,1.0,1.0,0.78
0.78,1.0,1.0,1.0,0.78
0.76,0.96,0.96,1.0,0.78
0.76,0.96,0.96,1.0,0.78
0.76,0.96,0.96,1.0,0.8
0.76,0.96,0.96,1.0,0.82
0.74,0.93,0.93,1.0,0.8
0.72,0.89,0.89,1.0,0.82
0.72,0.89,0.89,1.0,0.82
0.7,0.86,0.86,1.0,0.82
0.7,0.86,0.86,1.0,0.82
0.7,0.86,0.86,1.0,0.82
0.7,0.86,0.86,1.0,0.82
0.7,0.86,0.86,1.0,0.82
0.68,0.82,0.82,1.0,0.8
0.66,0.79,0.79,1.0,0.82
0.66,0.79,0.79,1.0,0.82
0.66,0.79,0.79,1.0,0.82
0.64,0.75,0.75,1.0,0.82
0.62,0.72,0.72,0.98,0.82
0.62,0.72,0.72,0.97,0.82
0.62,0.72,0.72,0.98,0.82
0.62,0.72,0.72,0.99,0.84
0.6,0.68,0.68,0.98,0.84
0.62,0.72,0.72,1.0,0.84
0.6,0.68,0.68,1.0,0.84
0.6,0.68,0.68,1.0,0.84
0.58,0.65,0.65,0.99,0.82
0.58,0.65,0.65,0.99,0.8
0.58,0.65,0.65,1.0,0.8
0.6,0.68,0.68,1.0,0.8
0.6,0.68,0.68,1.0,0.8
0.62,0.72,0.72,1.0,0.82
0.62,0.72,0.72,1.0,0.82
0.62,0.72,0.72,1.0,0.82
0.6,0.68,0.71,1.0,0.8
0.6,0.68,0.73,1.0,0.8
0.62,0.72,0.75,1.0,0.8
0.62,0.72,0.75,1.0,0.8
0.6,0.68,0.73,1.0,0.8
0.62,0.72,0.75,1.0,0.8
0.6,0.68,0.71,0.98,0.8
0.6,0.68,0.71,0.99,0.8
0.6,0.68,0.71,0.98,0.8
0.62,0.72,0.75,1.0,0.8
0.64,0.75,0.77,1.0,0.8
0.66,0.79,0.81,1.0,0.82
0.66,0.79,0.81,1.0,0.8
0.64,0.75,0.77,1.0,0.82
0.62,0.72,0.74,0.99,0.8
0.64,0.75,0.77,1.0,0.82
0.64,0.75,0.78,1.0,0.82
0.64,0.75,0.78,1.0,0.82
0.64,0.75,0.78,1.0,0.82
0.64,0.75,0.78,1.0,0.8
0.64,0.75,0.8,1.0,0.8
0.64,0.75,0.8,1.0,0.78
0.66,0.79,0.83,1.0,0.8
0.66,0.79,0.83,1.0,0.8
0.68,0.82,0.85,1.0,0.8
0.68,0.82,0.85,1.0,0.8
0.68,0.82,0.85,1.0,0.8
0.66,0.79,0.81,1.0,0.78
0.64,0.75,0.77,1.0,0.78
0.66,0.79,0.81,1.0,0.78
0.66,0.79,0.82,1.0,0.8
0.66,0.79,0.82,1.0,0.8
0.64,0.75,0.8,1.0,0.8
0.66,0.79,0.82,1.0,0.78
0.68,0.82,0.82,1.0,0.76
0.68,0.82,0.82,1.0,0.76
0.7,0.86,0.86,1.0,0.76
0.7,0.86,0.86,1.0,0.78
0.72,0.89,0.89,1.0,0.76
0.72,0.89,0.89,1.0,0.76
0.72,0.89,0.89,1.0,0.76
0.7,0.86,0.87,1.0,0.76
0.72,0.89,0.91,1.0,0.75
0.72,0.89,0.91,1.0,0.76
0.72,0.89,0.91,1.0,0.78
0.72,0.89,0.91,1.0,0.78
0.72,0.89,0.91,1.0,0.76
0.7,0.86,0.87,1.0,0.75
0.7,0.86,0.87,1.0,0.75
0.7,0.86,0.87,1.0,0.75
0.7,0.86,0.86,1.0,0.75
0.7,0.86,0.86,1.0,0.76
0.7,0.86,0.86,1.0,0.76
0.7,0.86,0.86,1.0,0.76
0.72,0.89,0.88,1.0,0.76
0.72,0.89,0.89,1.0,0.76
0.74,0.93,0.91,1.0,0.76
0.74,0.93,0.91,1.0,0.78
0.74,0.93,0.91,1.0,0.78
0.74,0.93,0.91,1.0,0.78
0.74,0.93,0.91,1.0,0.78
0.74,0.93,0.91,1.0,0.78
0.76,0.96,0.95,1.0,0.78
0.78,1.0,0.98,1.0,0.8
0.8,1.0,1.0,1.0,0.8
0.8,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.84
0.78,1.0,1.0,1.0,0.84
0.78,1.0,1.0,1.0,0.84
0.78,1.0,1.0,1.0,0.84
0.78,1.0,1.0,1.0,0.84
0.78,1.0,1.0,1.0,0.84
0.8,1.0,1.0,1.0,0.86
0.8,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.84
0.84,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.86
0.8,1.0,1.0,1.0,0.86
0.8,1.0,1.0,1.0,0.84
0.8,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.84
0.84,1.0,1.0,1.0,0.84
0.84,1.0,1.0,1.0,0.84
0.84,1.0,1.0,1.0,0.86
0.84,1.0,1.0,1.0,0.86
0.84,1.0,1.0,1.0,0.86
0.82,1.0,1.0,1.0,0.84
0.84,1.0,1.0,1.0,0.86
0.84,1.0,1.0,1.0,0.88
0.82,1.0,1.0,1.0,0.88
0.82,1.0,1.0,1.0,0.86
0.82,1.0,1.0,1.0,0.86
0.82,1.0,1.0,1.0,0.86
0.82,1.0,1.0,1.0,0.86
0.82,1.0,1.0,1.0,0.86
0.82,1.0,1.0,1.0,0.86
0.82,1.0,1.0,1.0,0.86
0.82,1.0,1.0,1.0,0.86
0.8,1.0,1.0,1.0,0.86
0.8,1.0,1.0,1.0,0.86
0.78,1.0,1.0,1.0,0.84
0.78,1.0,1.0,1.0,0.84
0.78,1.0,1.0,1.0,0.84
0.78,1.0,1.0,1.0,0.84
0.78,1.0,1.0,1.0,0.84
0.78,1.0,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.82
0.78,1.0,1.0,1.0,0.82
0.8,1.0,1.0,1.0,0.84
0.8,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.84
0.84,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.86
0.8,1.0,1.0,1.0,0.86
0.8,1.0,1.0,1.0,0.86
0.8,1.0,1.0,1.0,0.84
0.8,1.0,1.0,1.0,0.84
0.82,1.0,1.0,1.0,0.84
0.8,1.0,1.0,1.0,0.86
0.8,1.0,1.0,1.0,0.88
0.8,1.0,1.0,1.0,0.9
0.8,1.0,1.0,1.0,0.9
0.8,1.0,1.0,1.0,0.88
0.8,1.0,1.0,1.0,0.88
0.78,1.0,1.0,1.0,0.88
0.76,0.96,1.0,1.0,0.86
0.76,0.96,1.0,1.0,0.86
