baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.51,0.53,0.53,0.55,0.5
0.51,0.53,0.53,0.55,0.5
0.51,0.53,0.53,0.55,0.5
0.5,0.53,0.53,0.55,0.5
0.51,0.53,0.53,0.55,0.5
0.5,0.53,0.53,0.55,0.5
0.5,0.52,0.52,0.55,0.5
0.5,0.53,0.53,0.55,0.5
0.51,0.53,0.53,0.55,0.5
0.5,0.53,0.53,0.55,0.5
0.5,0.52,0.52,0.55,0.5
0.5,0.52,0.52,0.55,0.5
0.5,0.52,0.52,0.54,0.5
0.5,0.52,0.52,0.54,0.5
0.5,0.52,0.52,0.54,0.5
0.5,0.51,0.51,0.54,0.49
0.5,0.51,0.51,0.54,0.49
0.5,0.51,0.51,0.54,0.49
0.5,0.51,0.51,0.54,0.49
0.5,0.51,0.51,0.54,0.49
0.5,0.51,0.51,0.54,0.49
0.5,0.51,0.51,0.54,0.49
0.49,0.51,0.51,0.53,0.49
0.5,0.51,0.51,0.54,0.49
0.5,0.51,0.51,0.54,0.49
0.5,0.51,0.51,0.54,0.49
0.5,0.51,0.51,0.54,0.49
0.5,0.51,0.51,0.53,0.49
0.5,0.51,0.51,0.53,0.49
0.49,0.51,0.51,0.53,0.49
0.49,0.51,0.51,0.53,0.49
0.49,0.51,0.51,0.53,0.49
0.5,0.51,0.51,0.53,0.49
0.49,0.51,0.51,0.53,0.49
0.49,0.5,0.5,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.5,0.51,0.51,0.53,0.48
0.5,0.51,0.51,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.49,0.51,0.51,0.53,0.48
0.49,0.5,0.5,0.53,0.48
0.49,0.5,0.5,0.53,0.48
0.49,0.5,0.5,0.53,0.48
0.49,0.5,0.5,0.53,0.48
0.49,0.49,0.49,0.53,0.47
0.49,0.49,0.49,0.53,0.47
0.49,0.49,0.49,0.53,0.47
