baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.47,0.51,0.52,0.58,0.47
0.47,0.51,0.52,0.58,0.47
0.47,0.51,0.52,0.58,0.47
0.47,0.51,0.52,0.58,0.47
0.47,0.51,0.52,0.58,0.47
0.47,0.51,0.52,0.58,0.47
0.47,0.51,0.52,0.58,0.47
0.47,0.51,0.52,0.58,0.47
0.47,0.51,0.52,0.58,0.47
0.47,0.51,0.52,0.58,0.47
0.47,0.52,0.52,0.58,0.47
0.47,0.52,0.53,0.58,0.47
0.47,0.52,0.53,0.58,0.47
0.47,0.52,0.53,0.58,0.47
0.47,0.52,0.53,0.58,0.47
0.47,0.52,0.53,0.58,0.48
0.47,0.52,0.53,0.58,0.48
0.47,0.52,0.53,0.58,0.48
0.47,0.52,0.53,0.58,0.47
0.47,0.52,0.53,0.58,0.47
0.48,0.53,0.53,0.59,0.48
0.47,0.52,0.53,0.58,0.48
0.47,0.52,0.53,0.58,0.47
0.47,0.52,0.53,0.58,0.47
0.48,0.53,0.53,0.58,0.48
0.48,0.53,0.53,0.58,0.48
0.48,0.53,0.54,0.59,0.48
0.48,0.53,0.53,0.58,0.48
0.48,0.53,0.53,0.58,0.47
0.48,0.53,0.53,0.58,0.47
0.48,0.53,0.53,0.58,0.47
0.48,0.53,0.53,0.58,0.47
0.48,0.53,0.54,0.58,0.47
0.48,0.53,0.53,0.58,0.47
0.48,0.53,0.53,0.58,0.47
0.47,0.52,0.53,0.58,0.47
0.47,0.52,0.53,0.58,0.47
0.47,0.52,0.53,0.58,0.47
0.48,0.53,0.53,0.58,0.47
0.48,0.53,0.53,0.58,0.47
0.48,0.53,0.53,0.58,0.48
0.48,0.53,0.53,0.58,0.48
0.48,0.54,0.54,0.59,0.48
0.48,0.54,0.54,0.59,0.48
0.48,0.54,0.54,0.59,0.48
0.48,0.54,0.54,0.59,0.48
0.48,0.54,0.54,0.59,0.48
0.48,0.54,0.54,0.59,0.48
0.48,0.54,0.54,0.59,0.48
