baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.5,0.54,0.56,0.54,0.47
0.51,0.55,0.57,0.55,0.48
0.5,0.54,0.55,0.53,0.47
0.51,0.55,0.57,0.55,0.47
0.51,0.55,0.58,0.55,0.48
0.5,0.54,0.56,0.54,0.47
0.5,0.52,0.56,0.53,0.46
0.5,0.52,0.57,0.54,0.47
0.49,0.5,0.56,0.53,0.46
0.5,0.52,0.58,0.55,0.47
0.5,0.52,0.58,0.54,0.47
0.5,0.54,0.6,0.56,0.48
0.5,0.54,0.6,0.57,0.48
0.5,0.54,0.6,0.57,0.48
0.5,0.54,0.6,0.57,0.48
0.5,0.52,0.59,0.55,0.47
0.5,0.52,0.6,0.55,0.47
0.5,0.52,0.59,0.55,0.47
0.49,0.5,0.56,0.53,0.46
0.48,0.48,0.54,0.51,0.45
0.48,0.48,0.54,0.51,0.45
0.48,0.48,0.54,0.51,0.45
0.47,0.46,0.53,0.5,0.44
0.47,0.46,0.53,0.5,0.44
0.48,0.48,0.54,0.51,0.44
0.48,0.48,0.54,0.51,0.44
0.49,0.5,0.55,0.52,0.45
0.49,0.5,0.54,0.52,0.46
0.48,0.48,0.52,0.5,0.45
0.48,0.48,0.52,0.49,0.45
0.47,0.46,0.51,0.48,0.44
0.47,0.46,0.51,0.48,0.43
0.46,0.45,0.51,0.47,0.42
0.46,0.45,0.51,0.47,0.42
0.47,0.46,0.51,0.48,0.42
0.47,0.46,0.51,0.48,0.42
0.47,0.46,0.51,0.49,0.42
0.46,0.45,0.5,0.47,0.41
0.46,0.45,0.49,0.47,0.41
0.47,0.46,0.5,0.48,0.41
0.47,0.46,0.48,0.47,0.4
0.48,0.48,0.48,0.47,0.4
0.47,0.46,0.48,0.46,0.4
0.47,0.46,0.48,0.46,0.4
0.46,0.45,0.46,0.44,0.4
0.47,0.46,0.47,0.46,0.41
0.47,0.46,0.47,0.46,0.41
0.48,0.48,0.49,0.48,0.42
0.48,0.48,0.49,0.48,0.42
0.49,0.5,0.5,0.49,0.43
0.5,0.52,0.51,0.51,0.43
0.5,0.52,0.51,0.5,0.44
0.5,0.52,0.53,0.51,0.44
0.49,0.5,0.49,0.49,0.43
0.49,0.5,0.5,0.49,0.43
0.49,0.5,0.5,0.49,0.43
0.49,0.5,0.5,0.49,0.43
0.48,0.48,0.48,0.47,0.42
0.47,0.46,0.47,0.46,0.41
0.48,0.48,0.48,0.47,0.41
0.47,0.46,0.47,0.46,0.4
0.48,0.48,0.48,0.47,0.41
0.49,0.5,0.5,0.48,0.42
0.5,0.52,0.51,0.5,0.43
0.5,0.52,0.51,0.5,0.43
0.5,0.54,0.53,0.52,0.43
0.5,0.54,0.53,0.52,0.43
0.5,0.52,0.51,0.5,0.43
0.5,0.52,0.52,0.51,0.43
0.5,0.52,0.52,0.51,0.43
0.49,0.5,0.51,0.49,0.42
0.49,0.5,0.51,0.49,0.42
0.5,0.52,0.51,0.51,0.43
0.49,0.5,0.51,0.5,0.43
0.5,0.52,0.53,0.51,0.44
0.49,0.5,0.51,0.49,0.44
0.49,0.5,0.5,0.48,0.44
0.48,0.48,0.48,0.47,0.43
0.49,0.5,0.5,0.48,0.44
0.49,0.5,0.5,0.49,0.44
0.5,0.52,0.51,0.5,0.44
0.5,0.54,0.51,0.5,0.45
0.5,0.54,0.51,0.5,0.45
0.51,0.55,0.52,0.52,0.46
0.5,0.54,0.5,0.5,0.45
0.5,0.54,0.5,0.5,0.44
0.5,0.54,0.5,0.5,0.44
0.5,0.54,0.52,0.51,0.44
0.5,0.52,0.52,0.5,0.44
0.5,0.54,0.53,0.51,0.45
0.5,0.54,0.51,0.5,0.44
0.51,0.55,0.53,0.52,0.45
0.52,0.57,0.54,0.53,0.46
0.52,0.57,0.53,0.53,0.45
0.51,0.55,0.52,0.52,0.45
0.5,0.54,0.51,0.51,0.44
0.5,0.54,0.5,0.51,0.43
0.5,0.54,0.51,0.51,0.43
0.5,0.52,0.48,0.49,0.42
0.5,0.54,0.5,0.5,0.43
0.5,0.54,0.49,0.49,0.44
0.5,0.52,0.48,0.48,0.43
0.49,0.5,0.48,0.48,0.42
0.5,0.52,0.49,0.49,0.43
0.5,0.52,0.49,0.49,0.44
0.5,0.52,0.48,0.48,0.44
0.5,0.54,0.48,0.49,0.45
0.51,0.55,0.48,0.5,0.46
0.51,0.55,0.48,0.5,0.46
0.51,0.55,0.48,0.49,0.46
0.5,0.54,0.44,0.47,0.45
0.5,0.54,0.44,0.47,0.46
0.5,0.52,0.43,0.45,0.45
0.5,0.52,0.43,0.45,0.46
0.49,0.5,0.42,0.43,0.46
0.48,0.48,0.38,0.41,0.45
0.48,0.48,0.38,0.41,0.45
0.47,0.46,0.38,0.4,0.45
0.46,0.45,0.37,0.38,0.44
0.46,0.45,0.37,0.39,0.44
0.46,0.45,0.37,0.39,0.44
0.47,0.46,0.38,0.4,0.45
0.47,0.46,0.4,0.41,0.46
0.48,0.48,0.41,0.42,0.47
0.48,0.48,0.41,0.42,0.47
0.47,0.46,0.41,0.41,0.46
0.48,0.48,0.42,0.42,0.47
0.47,0.46,0.4,0.4,0.47
0.47,0.46,0.4,0.41,0.47
0.48,0.48,0.42,0.42,0.47
0.48,0.48,0.42,0.42,0.47
0.48,0.48,0.42,0.42,0.47
0.49,0.5,0.42,0.43,0.48
0.5,0.52,0.44,0.45,0.49
0.5,0.54,0.45,0.46,0.5
0.5,0.54,0.45,0.47,0.5
0.5,0.54,0.44,0.46,0.5
0.51,0.55,0.44,0.46,0.5
0.52,0.57,0.46,0.48,0.5
0.53,0.59,0.48,0.5,0.51
0.53,0.59,0.48,0.5,0.51
0.53,0.59,0.48,0.5,0.52
0.53,0.59,0.48,0.5,0.53
0.54,0.61,0.51,0.52,0.54
0.54,0.61,0.49,0.51,0.53
0.55,0.63,0.53,0.54,0.54
0.54,0.61,0.53,0.52,0.53
0.53,0.59,0.51,0.51,0.53
0.53,0.59,0.5,0.5,0.52
0.53,0.59,0.51,0.5,0.52
0.52,0.57,0.49,0.49,0.51
0.51,0.55,0.47,0.47,0.5
0.51,0.55,0.48,0.47,0.5
0.52,0.57,0.5,0.48,0.51
0.52,0.57,0.51,0.49,0.51
0.52,0.57,0.52,0.49,0.51
0.53,0.59,0.53,0.51,0.52
0.54,0.61,0.55,0.52,0.53
0.55,0.63,0.57,0.54,0.53
0.56,0.64,0.58,0.55,0.54
0.56,0.64,0.58,0.55,0.54
0.57,0.66,0.59,0.56,0.54
0.56,0.64,0.58,0.55,0.53
0.56,0.64,0.58,0.55,0.53
0.56,0.64,0.58,0.55,0.53
0.57,0.66,0.6,0.57,0.54
0.56,0.64,0.59,0.56,0.53
0.57,0.66,0.61,0.58,0.54
0.57,0.66,0.62,0.58,0.54
0.57,0.66,0.61,0.58,0.54
0.57,0.66,0.61,0.57,0.54
0.58,0.68,0.62,0.59,0.55
0.59,0.7,0.64,0.61,0.56
0.58,0.68,0.63,0.6,0.55
0.58,0.68,0.63,0.6,0.55
0.58,0.68,0.62,0.6,0.55
0.58,0.68,0.62,0.59,0.55
0.59,0.7,0.64,0.61,0.56
0.6,0.72,0.66,0.63,0.57
0.59,0.7,0.65,0.62,0.56
0.59,0.7,0.65,0.62,0.56
0.58,0.68,0.65,0.61,0.55
0.57,0.66,0.64,0.6,0.54
0.57,0.66,0.63,0.59,0.54
0.56,0.64,0.62,0.58,0.54
0.56,0.64,0.63,0.58,0.54
0.56,0.64,0.63,0.59,0.54
0.55,0.63,0.61,0.57,0.53
0.55,0.63,0.61,0.57,0.53
0.56,0.64,0.63,0.59,0.54
0.56,0.64,0.63,0.59,0.54
0.55,0.63,0.62,0.58,0.55
0.54,0.61,0.61,0.57,0.54
0.53,0.59,0.59,0.56,0.53
0.52,0.57,0.58,0.55,0.53
0.52,0.57,0.58,0.54,0.53
0.52,0.57,0.58,0.54,0.53
0.51,0.55,0.56,0.53,0.53
0.52,0.57,0.58,0.54,0.54
0.52,0.57,0.58,0.54,0.54
0.52,0.57,0.58,0.55,0.53
0.51,0.55,0.58,0.54,0.53
0.52,0.57,0.6,0.55,0.54
0.53,0.59,0.6,0.56,0.54
0.52,0.57,0.58,0.55,0.53
0.51,0.55,0.58,0.54,0.53
0.5,0.54,0.57,0.53,0.52
0.5,0.52,0.57,0.51,0.51
0.5,0.52,0.56,0.51,0.51
0.5,0.52,0.55,0.51,0.5
0.5,0.52,0.55,0.51,0.51
0.5,0.54,0.55,0.52,0.51
0.5,0.54,0.55,0.53,0.5
0.51,0.55,0.57,0.54,0.5
0.52,0.57,0.58,0.55,0.5
0.53,0.59,0.58,0.55,0.5
0.54,0.61,0.6,0.58,0.51
0.55,0.63,0.63,0.6,0.52
0.55,0.63,0.63,0.6,0.52
0.55,0.63,0.63,0.6,0.52
0.56,0.64,0.64,0.62,0.53
0.57,0.66,0.66,0.64,0.54
0.56,0.64,0.64,0.62,0.54
0.56,0.64,0.64,0.61,0.54
0.56,0.64,0.64,0.61,0.53
0.57,0.66,0.66,0.62,0.54
0.57,0.66,0.65,0.62,0.55
0.56,0.64,0.64,0.6,0.55
0.57,0.66,0.65,0.62,0.55
0.57,0.66,0.65,0.61,0.54
0.57,0.66,0.65,0.61,0.54
0.57,0.66,0.65,0.62,0.54
0.57,0.66,0.65,0.62,0.55
0.57,0.66,0.65,0.62,0.55
0.57,0.66,0.65,0.62,0.54
0.56,0.64,0.64,0.61,0.54
0.55,0.63,0.62,0.59,0.54
0.55,0.63,0.62,0.59,0.55
0.54,0.61,0.61,0.58,0.54
0.54,0.61,0.61,0.57,0.53
0.53,0.59,0.59,0.55,0.53
0.52,0.57,0.57,0.54,0.52
0.52,0.57,0.57,0.55,0.52
0.52,0.57,0.58,0.56,0.52
0.52,0.57,0.58,0.55,0.52
0.52,0.57,0.58,0.56,0.53
0.52,0.57,0.58,0.56,0.53
0.53,0.59,0.59,0.57,0.54
0.53,0.59,0.58,0.55,0.53
0.52,0.57,0.57,0.54,0.53
0.52,0.57,0.57,0.54,0.53
0.52,0.57,0.57,0.54,0.53
0.52,0.57,0.56,0.54,0.53
0.52,0.57,0.57,0.54,0.53
0.51,0.55,0.56,0.53,0.53
0.52,0.57,0.57,0.54,0.54
0.52,0.57,0.57,0.54,0.54
0.52,0.57,0.56,0.53,0.54
0.51,0.55,0.55,0.5,0.53
0.5,0.54,0.54,0.48,0.53
0.5,0.54,0.54,0.49,0.52
0.5,0.52,0.52,0.47,0.51
0.5,0.52,0.53,0.48,0.52
0.5,0.52,0.53,0.48,0.52
0.5,0.52,0.53,0.48,0.52
0.49,0.5,0.52,0.47,0.52
0.49,0.5,0.51,0.46,0.52
0.5,0.52,0.52,0.48,0.53
0.5,0.52,0.52,0.47,0.53
0.5,0.52,0.52,0.48,0.53
0.5,0.52,0.52,0.49,0.53
0.5,0.52,0.52,0.49,0.53
0.49,0.5,0.51,0.47,0.53
0.49,0.5,0.51,0.47,0.53
0.49,0.5,0.51,0.47,0.53
0.5,0.52,0.51,0.47,0.53
0.5,0.52,0.51,0.47,0.53
0.5,0.54,0.53,0.5,0.54
0.5,0.54,0.53,0.5,0.54
0.5,0.54,0.53,0.5,0.54
0.5,0.54,0.54,0.51,0.55
0.51,0.55,0.55,0.53,0.56
0.52,0.57,0.56,0.54,0.57
0.52,0.57,0.56,0.54,0.57
0.52,0.57,0.57,0.55,0.57
0.52,0.57,0.58,0.55,0.57
0.53,0.59,0.6,0.57,0.58
0.53,0.59,0.6,0.57,0.58
0.53,0.59,0.6,0.58,0.58
0.53,0.59,0.6,0.58,0.57
0.52,0.57,0.59,0.56,0.57
0.51,0.55,0.57,0.55,0.56
0.52,0.57,0.59,0.56,0.55
0.52,0.57,0.58,0.56,0.55
0.52,0.57,0.6,0.56,0.55
0.52,0.57,0.6,0.56,0.56
0.53,0.59,0.61,0.58,0.57
0.54,0.61,0.62,0.6,0.58
0.55,0.63,0.65,0.62,0.58
0.54,0.61,0.63,0.6,0.57
0.55,0.63,0.64,0.63,0.58
0.54,0.61,0.63,0.61,0.58
0.55,0.63,0.63,0.62,0.57
0.55,0.63,0.63,0.62,0.57
0.54,0.61,0.62,0.6,0.57
0.54,0.61,0.61,0.6,0.58
0.55,0.63,0.62,0.6,0.57
0.55,0.63,0.62,0.6,0.57
0.55,0.63,0.62,0.6,0.58
0.55,0.63,0.62,0.6,0.58
0.55,0.63,0.62,0.6,0.59
0.55,0.63,0.61,0.59,0.58
0.54,0.61,0.6,0.58,0.58
0.55,0.63,0.63,0.6,0.59
0.54,0.61,0.61,0.6,0.6
0.53,0.59,0.61,0.58,0.59
0.53,0.59,0.61,0.58,0.59
0.53,0.59,0.61,0.58,0.59
0.52,0.57,0.58,0.57,0.59
0.53,0.59,0.6,0.58,0.6
0.54,0.61,0.62,0.6,0.61
0.53,0.59,0.61,0.59,0.6
0.53,0.59,0.62,0.6,0.6
0.54,0.61,0.63,0.61,0.6
0.53,0.59,0.62,0.6,0.59
0.53,0.59,0.62,0.6,0.59
0.52,0.57,0.6,0.58,0.58
0.52,0.57,0.61,0.58,0.57
0.53,0.59,0.62,0.6,0.57
0.53,0.59,0.62,0.6,0.57
0.53,0.59,0.63,0.6,0.58
0.53,0.59,0.64,0.6,0.59
0.53,0.59,0.64,0.6,0.59
0.53,0.59,0.64,0.6,0.58
0.52,0.57,0.62,0.59,0.57
0.52,0.57,0.63,0.59,0.58
0.53,0.59,0.64,0.61,0.58
0.54,0.61,0.65,0.62,0.58
0.53,0.59,0.65,0.61,0.58
0.54,0.61,0.66,0.63,0.59
0.53,0.59,0.66,0.62,0.59
0.54,0.61,0.68,0.64,0.59
0.55,0.63,0.69,0.65,0.6
0.54,0.61,0.66,0.64,0.59
0.53,0.59,0.65,0.63,0.58
0.52,0.57,0.62,0.6,0.57
0.51,0.55,0.6,0.58,0.56
0.51,0.55,0.6,0.58,0.56
0.5,0.54,0.6,0.57,0.55
0.5,0.54,0.6,0.58,0.55
0.51,0.55,0.63,0.6,0.56
0.51,0.55,0.63,0.6,0.56
0.52,0.57,0.64,0.61,0.56
0.53,0.59,0.66,0.64,0.57
0.53,0.59,0.66,0.63,0.56
0.54,0.61,0.66,0.64,0.56
0.53,0.59,0.65,0.63,0.55
0.53,0.59,0.66,0.65,0.56
0.52,0.57,0.66,0.65,0.55
0.53,0.59,0.68,0.67,0.56
0.54,0.61,0.68,0.68,0.57
0.53,0.59,0.67,0.67,0.58
0.54,0.61,0.68,0.69,0.59
0.54,0.61,0.68,0.69,0.59
0.55,0.63,0.7,0.7,0.59
0.55,0.63,0.7,0.7,0.59
0.55,0.63,0.7,0.7,0.59
0.55,0.63,0.71,0.7,0.59
0.55,0.63,0.71,0.7,0.59
0.55,0.63,0.72,0.71,0.59
0.56,0.64,0.74,0.72,0.6
0.56,0.64,0.74,0.72,0.61
0.55,0.63,0.73,0.7,0.6
0.55,0.63,0.72,0.69,0.59
0.54,0.61,0.69,0.66,0.58
0.55,0.63,0.7,0.68,0.59
0.55,0.63,0.71,0.69,0.59
0.55,0.63,0.71,0.69,0.59
0.55,0.63,0.71,0.68,0.58
0.55,0.63,0.7,0.68,0.57
0.54,0.61,0.68,0.65,0.56
0.54,0.61,0.69,0.66,0.55
0.53,0.59,0.66,0.65,0.54
0.52,0.57,0.66,0.63,0.54
0.53,0.59,0.68,0.64,0.55
0.54,0.61,0.68,0.65,0.56
0.55,0.63,0.69,0.66,0.56
0.55,0.63,0.68,0.65,0.55
0.56,0.64,0.7,0.67,0.56
0.56,0.64,0.7,0.68,0.56
0.56,0.64,0.7,0.68,0.57
0.57,0.66,0.72,0.69,0.57
0.57,0.66,0.72,0.69,0.58
0.56,0.64,0.7,0.68,0.58
0.56,0.64,0.71,0.69,0.59
0.56,0.64,0.71,0.69,0.59
0.56,0.64,0.7,0.69,0.59
0.56,0.64,0.7,0.69,0.59
0.56,0.64,0.7,0.69,0.59
0.56,0.64,0.72,0.69,0.6
0.57,0.66,0.73,0.71,0.61
0.56,0.64,0.71,0.69,0.6
0.57,0.66,0.73,0.71,0.61
0.57,0.66,0.75,0.71,0.62
0.57,0.66,0.75,0.72,0.62
0.57,0.66,0.74,0.71,0.62
0.57,0.66,0.73,0.7,0.61
0.57,0.66,0.73,0.7,0.62
0.57,0.66,0.73,0.7,0.62
0.58,0.68,0.74,0.71,0.62
0.58,0.68,0.75,0.72,0.62
0.57,0.66,0.75,0.71,0.61
0.58,0.68,0.77,0.73,0.62
0.58,0.68,0.77,0.73,0.62
0.57,0.66,0.75,0.71,0.62
0.57,0.66,0.75,0.71,0.62
0.57,0.66,0.75,0.71,0.62
0.56,0.64,0.75,0.7,0.62
0.55,0.63,0.73,0.69,0.61
0.55,0.63,0.73,0.69,0.6
0.55,0.63,0.73,0.69,0.6
0.55,0.63,0.73,0.69,0.6
0.56,0.64,0.75,0.7,0.61
0.55,0.63,0.74,0.69,0.61
0.54,0.61,0.74,0.68,0.61
0.55,0.63,0.74,0.69,0.61
0.55,0.63,0.75,0.7,0.62
0.55,0.63,0.75,0.7,0.62
0.56,0.64,0.78,0.72,0.63
0.56,0.64,0.78,0.72,0.63
0.56,0.64,0.76,0.72,0.63
0.55,0.63,0.76,0.71,0.62
0.54,0.61,0.75,0.69,0.61
0.53,0.59,0.73,0.67,0.6
0.53,0.59,0.73,0.67,0.6
0.53,0.59,0.72,0.67,0.6
0.52,0.57,0.71,0.65,0.59
0.52,0.57,0.71,0.65,0.59
0.51,0.55,0.7,0.64,0.58
0.52,0.57,0.7,0.65,0.58
0.52,0.57,0.71,0.65,0.58
0.52,0.57,0.71,0.65,0.59
0.52,0.57,0.71,0.65,0.59
0.52,0.57,0.71,0.65,0.59
0.52,0.57,0.7,0.64,0.59
0.53,0.59,0.72,0.65,0.6
0.54,0.61,0.74,0.67,0.61
0.54,0.61,0.74,0.67,0.61
0.54,0.61,0.73,0.67,0.6
0.55,0.63,0.75,0.69,0.61
0.56,0.64,0.76,0.7,0.61
0.55,0.63,0.74,0.68,0.6
0.55,0.63,0.74,0.68,0.6
0.54,0.61,0.72,0.66,0.61
0.54,0.61,0.72,0.66,0.61
0.53,0.59,0.71,0.64,0.61
0.53,0.59,0.69,0.64,0.61
0.53,0.59,0.68,0.63,0.61
0.53,0.59,0.68,0.63,0.61
0.53,0.59,0.67,0.63,0.61
0.53,0.59,0.67,0.62,0.6
0.53,0.59,0.67,0.62,0.6
0.54,0.61,0.68,0.64,0.59
0.53,0.59,0.67,0.63,0.58
0.52,0.57,0.66,0.61,0.58
0.51,0.55,0.66,0.6,0.58
0.5,0.54,0.63,0.58,0.57
0.5,0.54,0.63,0.57,0.57
0.5,0.54,0.61,0.57,0.57
0.5,0.54,0.6,0.56,0.56
0.5,0.52,0.58,0.55,0.56
0.5,0.52,0.58,0.56,0.56
0.5,0.54,0.58,0.56,0.56
0.51,0.55,0.61,0.58,0.57
0.52,0.57,0.62,0.6,0.58
0.52,0.57,0.61,0.59,0.58
0.52,0.57,0.63,0.6,0.58
0.51,0.55,0.6,0.58,0.57
0.5,0.54,0.6,0.57,0.57
0.5,0.52,0.58,0.56,0.57
0.49,0.5,0.56,0.53,0.57
0.49,0.5,0.58,0.55,0.57
0.49,0.5,0.56,0.53,0.57
0.5,0.52,0.58,0.55,0.58
0.5,0.54,0.6,0.57,0.58
0.5,0.54,0.6,0.57,0.58
0.5,0.52,0.57,0.55,0.57
0.49,0.5,0.56,0.53,0.56
0.49,0.5,0.57,0.53,0.57
0.48,0.48,0.56,0.52,0.57
0.49,0.5,0.57,0.53,0.58
0.48,0.48,0.54,0.51,0.57
0.48,0.48,0.54,0.51,0.57
0.48,0.48,0.53,0.5,0.56
0.48,0.48,0.52,0.5,0.57
0.48,0.48,0.51,0.49,0.56
0.48,0.48,0.51,0.49,0.56
0.49,0.5,0.52,0.5,0.56
0.48,0.48,0.51,0.49,0.55
0.47,0.46,0.5,0.48,0.54
0.47,0.46,0.49,0.47,0.53
0.47,0.46,0.49,0.47,0.53
0.47,0.46,0.49,0.47,0.54
0.47,0.46,0.48,0.46,0.54
0.47,0.46,0.48,0.46,0.54
0.47,0.46,0.48,0.46,0.54
0.48,0.48,0.5,0.48,0.55
0.49,0.5,0.51,0.49,0.55
0.48,0.48,0.5,0.48,0.54
0.48,0.48,0.51,0.48,0.54
0.47,0.46,0.48,0.46,0.54
0.47,0.46,0.47,0.46,0.54
0.47,0.46,0.47,0.46,0.54
0.46,0.45,0.46,0.44,0.53
0.47,0.46,0.48,0.47,0.54
0.47,0.46,0.48,0.47,0.53
0.48,0.48,0.51,0.49,0.53
0.49,0.5,0.51,0.5,0.54
0.49,0.5,0.51,0.5,0.53
0.49,0.5,0.5,0.49,0.53
0.5,0.52,0.51,0.5,0.54
0.5,0.52,0.51,0.5,0.53
0.5,0.52,0.51,0.5,0.53
0.5,0.52,0.5,0.49,0.53
0.5,0.52,0.49,0.48,0.52
0.5,0.52,0.49,0.48,0.51
0.5,0.52,0.49,0.48,0.52
0.5,0.52,0.49,0.48,0.52
0.5,0.54,0.5,0.5,0.52
0.5,0.52,0.48,0.48,0.51
0.49,0.5,0.47,0.46,0.51
0.48,0.48,0.47,0.46,0.5
0.48,0.48,0.47,0.46,0.51
0.49,0.5,0.48,0.48,0.52
0.49,0.5,0.48,0.47,0.52
0.5,0.52,0.49,0.49,0.53
0.5,0.52,0.51,0.5,0.53
0.5,0.52,0.49,0.49,0.53
0.49,0.5,0.49,0.48,0.52
0.49,0.5,0.48,0.48,0.52
0.49,0.5,0.49,0.49,0.52
0.48,0.48,0.48,0.47,0.51
0.49,0.5,0.49,0.49,0.51
0.49,0.5,0.49,0.49,0.51
0.48,0.48,0.47,0.47,0.5
0.48,0.48,0.48,0.47,0.5
0.47,0.46,0.45,0.45,0.5
0.47,0.46,0.45,0.45,0.5
0.47,0.46,0.45,0.45,0.5
0.46,0.45,0.45,0.45,0.51
0.46,0.45,0.45,0.45,0.51
0.46,0.45,0.45,0.45,0.51
0.46,0.45,0.45,0.45,0.51
0.45,0.43,0.43,0.43,0.5
0.46,0.45,0.45,0.44,0.5
0.46,0.45,0.45,0.44,0.5
0.46,0.45,0.45,0.44,0.5
0.45,0.43,0.43,0.43,0.5
0.45,0.43,0.44,0.44,0.5
0.46,0.45,0.45,0.45,0.5
0.47,0.46,0.47,0.46,0.51
0.47,0.46,0.48,0.48,0.52
0.46,0.45,0.46,0.45,0.51
0.46,0.45,0.46,0.45,0.52
0.46,0.45,0.46,0.46,0.52
0.47,0.46,0.47,0.46,0.52
0.48,0.48,0.48,0.48,0.53
0.49,0.5,0.49,0.49,0.54
0.5,0.52,0.51,0.5,0.53
0.49,0.5,0.5,0.49,0.53
0.48,0.48,0.48,0.48,0.53
0.48,0.48,0.47,0.48,0.52
0.48,0.48,0.47,0.48,0.52
0.48,0.48,0.47,0.48,0.52
0.47,0.46,0.46,0.46,0.52
0.47,0.46,0.47,0.47,0.52
0.47,0.46,0.47,0.47,0.53
0.47,0.46,0.46,0.47,0.52
0.47,0.46,0.46,0.47,0.52
0.48,0.48,0.49,0.48,0.52
0.48,0.48,0.49,0.49,0.52
0.49,0.5,0.51,0.5,0.53
0.5,0.52,0.52,0.51,0.53
0.5,0.54,0.53,0.53,0.54
0.5,0.54,0.53,0.53,0.54
0.5,0.52,0.51,0.51,0.53
0.49,0.5,0.5,0.49,0.53
0.49,0.5,0.51,0.49,0.53
0.5,0.52,0.51,0.5,0.54
0.5,0.52,0.52,0.51,0.54
0.5,0.52,0.52,0.51,0.53
0.5,0.52,0.52,0.51,0.53
