baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.57,0.68,0.7,0.71,0.82
0.55,0.65,0.68,0.68,0.8
0.57,0.68,0.71,0.73,0.82
0.57,0.68,0.72,0.73,0.8
0.57,0.68,0.72,0.73,0.8
0.57,0.68,0.73,0.74,0.8
0.55,0.65,0.71,0.71,0.78
0.55,0.65,0.71,0.71,0.78
0.55,0.65,0.71,0.71,0.78
0.55,0.65,0.71,0.71,0.78
0.55,0.65,0.71,0.71,0.78
0.55,0.65,0.71,0.71,0.78
0.55,0.65,0.72,0.71,0.78
0.55,0.65,0.72,0.71,0.78
0.57,0.68,0.72,0.74,0.8
0.59,0.71,0.75,0.76,0.8
0.59,0.71,0.79,0.77,0.8
0.59,0.71,0.79,0.77,0.8
0.59,0.71,0.8,0.77,0.8
0.59,0.71,0.8,0.75,0.8
0.59,0.71,0.81,0.76,0.8
0.57,0.68,0.78,0.73,0.8
0.59,0.71,0.81,0.76,0.8
0.61,0.75,0.83,0.78,0.82
0.59,0.71,0.8,0.74,0.8
0.61,0.75,0.85,0.8,0.82
0.61,0.75,0.85,0.79,0.82
0.59,0.71,0.8,0.76,0.8
0.61,0.75,0.83,0.79,0.8
0.61,0.75,0.86,0.81,0.8
0.61,0.75,0.83,0.79,0.78
0.59,0.71,0.82,0.77,0.76
0.59,0.71,0.82,0.77,0.76
0.61,0.75,0.82,0.78,0.75
0.63,0.78,0.83,0.8,0.75
0.65,0.81,0.84,0.82,0.75
0.65,0.81,0.84,0.82,0.75
0.63,0.78,0.8,0.79,0.73
0.61,0.75,0.78,0.75,0.71
0.61,0.75,0.77,0.75,0.71
0.61,0.75,0.77,0.74,0.69
0.59,0.71,0.73,0.71,0.67
0.59,0.71,0.73,0.71,0.67
0.59,0.71,0.73,0.71,0.67
0.61,0.75,0.73,0.72,0.67
0.61,0.75,0.75,0.74,0.69
0.61,0.75,0.75,0.74,0.71
0.61,0.75,0.75,0.74,0.71
0.61,0.75,0.75,0.74,0.71
0.61,0.75,0.76,0.74,0.71
0.59,0.71,0.73,0.71,0.71
0.59,0.71,0.73,0.72,0.71
0.59,0.71,0.73,0.72,0.73
0.57,0.68,0.7,0.69,0.71
0.59,0.71,0.73,0.72,0.73
0.59,0.71,0.73,0.72,0.73
0.57,0.68,0.69,0.68,0.71
0.57,0.68,0.69,0.68,0.71
0.57,0.68,0.7,0.68,0.71
0.57,0.68,0.69,0.68,0.71
0.55,0.65,0.65,0.64,0.71
0.53,0.62,0.62,0.61,0.71
0.53,0.62,0.62,0.61,0.71
0.53,0.62,0.62,0.61,0.71
0.51,0.58,0.58,0.59,0.71
0.51,0.58,0.59,0.59,0.71
0.49,0.55,0.55,0.55,0.71
0.49,0.55,0.55,0.55,0.71
0.49,0.55,0.56,0.56,0.71
0.49,0.55,0.57,0.56,0.71
0.49,0.55,0.6,0.58,0.71
0.49,0.55,0.6,0.58,0.71
0.51,0.58,0.62,0.61,0.71
0.51,0.58,0.62,0.61,0.71
0.51,0.58,0.62,0.61,0.71
0.53,0.62,0.65,0.64,0.73
0.53,0.62,0.66,0.64,0.73
0.51,0.58,0.62,0.61,0.71
0.51,0.58,0.63,0.61,0.71
0.51,0.58,0.6,0.6,0.71
0.51,0.58,0.6,0.59,0.71
0.53,0.62,0.63,0.62,0.73
0.53,0.62,0.63,0.63,0.75
0.53,0.62,0.62,0.62,0.75
0.53,0.62,0.62,0.62,0.76
0.53,0.62,0.62,0.62,0.75
0.51,0.58,0.59,0.59,0.73
0.51,0.58,0.58,0.58,0.73
0.53,0.62,0.62,0.6,0.75
0.55,0.65,0.65,0.64,0.76
0.57,0.68,0.68,0.67,0.76
0.57,0.68,0.67,0.67,0.78
0.59,0.71,0.71,0.7,0.8
0.61,0.75,0.74,0.74,0.82
0.61,0.75,0.74,0.72,0.82
0.61,0.75,0.75,0.74,0.82
0.61,0.75,0.75,0.74,0.8
0.61,0.75,0.73,0.73,0.8
0.63,0.78,0.76,0.77,0.82
0.63,0.78,0.76,0.77,0.82
0.63,0.78,0.76,0.77,0.82
0.65,0.81,0.8,0.8,0.82
0.65,0.81,0.8,0.8,0.82
0.67,0.84,0.83,0.84,0.82
0.69,0.88,0.87,0.88,0.84
0.69,0.88,0.88,0.88,0.84
0.69,0.88,0.87,0.88,0.82
0.71,0.91,0.91,0.9,0.84
0.73,0.94,0.95,0.97,0.86
0.73,0.94,0.94,0.97,0.86
0.73,0.94,0.95,0.97,0.86
0.75,0.98,0.98,1.0,0.86
0.75,0.98,0.98,1.0,0.84
0.73,0.94,0.94,1.0,0.82
0.71,0.91,0.91,1.0,0.8
0.71,0.91,0.89,0.97,0.78
0.71,0.91,0.91,0.98,0.78
0.73,0.94,0.94,1.0,0.78
0.73,0.94,0.94,1.0,0.78
0.73,0.94,0.94,1.0,0.78
0.71,0.91,0.91,0.98,0.76
0.71,0.91,0.89,0.97,0.76
0.69,0.88,0.86,0.92,0.75
0.67,0.84,0.83,0.85,0.75
0.65,0.81,0.8,0.83,0.75
0.65,0.81,0.8,0.82,0.75
0.65,0.81,0.8,0.82,0.75
0.65,0.81,0.8,0.82,0.75
0.65,0.81,0.8,0.83,0.75
0.67,0.84,0.83,0.87,0.76
0.67,0.84,0.84,0.88,0.76
0.67,0.84,0.84,0.88,0.76
0.67,0.84,0.83,0.87,0.76
0.69,0.88,0.85,0.9,0.76
0.67,0.84,0.83,0.85,0.76
0.65,0.81,0.8,0.82,0.76
0.63,0.78,0.78,0.8,0.78
0.65,0.81,0.82,0.83,0.8
0.65,0.81,0.83,0.83,0.8
0.65,0.81,0.84,0.84,0.8
0.63,0.78,0.81,0.8,0.78
0.61,0.75,0.77,0.76,0.8
0.61,0.75,0.78,0.77,0.8
0.61,0.75,0.76,0.76,0.8
0.59,0.71,0.73,0.72,0.8
0.59,0.71,0.74,0.73,0.78
0.57,0.68,0.71,0.69,0.78
0.57,0.68,0.71,0.69,0.8
0.59,0.71,0.73,0.71,0.8
0.59,0.71,0.71,0.7,0.78
0.61,0.75,0.74,0.73,0.78
0.59,0.71,0.7,0.7,0.78
0.59,0.71,0.7,0.7,0.78
0.61,0.75,0.72,0.72,0.78
0.61,0.75,0.72,0.72,0.78
0.59,0.71,0.69,0.69,0.76
0.57,0.68,0.65,0.65,0.76
0.57,0.68,0.65,0.65,0.78
0.57,0.68,0.65,0.65,0.78
0.57,0.68,0.65,0.64,0.78
0.57,0.68,0.65,0.64,0.76
0.55,0.65,0.63,0.62,0.76
0.55,0.65,0.63,0.62,0.76
0.55,0.65,0.63,0.62,0.76
0.57,0.68,0.67,0.65,0.78
0.57,0.68,0.67,0.65,0.78
0.59,0.71,0.7,0.68,0.8
0.57,0.68,0.67,0.66,0.8
0.55,0.65,0.65,0.63,0.78
0.53,0.62,0.62,0.6,0.78
0.51,0.58,0.6,0.57,0.78
0.53,0.62,0.62,0.6,0.8
0.51,0.58,0.61,0.59,0.78
0.53,0.62,0.64,0.62,0.8
0.53,0.62,0.66,0.63,0.8
0.53,0.62,0.64,0.62,0.78
0.51,0.58,0.62,0.6,0.76
0.51,0.58,0.62,0.6,0.76
0.51,0.58,0.62,0.6,0.76
0.53,0.62,0.65,0.63,0.78
0.53,0.62,0.65,0.63,0.78
0.53,0.62,0.65,0.63,0.78
0.55,0.65,0.69,0.66,0.78
0.55,0.65,0.7,0.67,0.78
0.55,0.65,0.7,0.67,0.78
0.55,0.65,0.7,0.67,0.76
0.57,0.68,0.74,0.71,0.76
0.59,0.71,0.76,0.73,0.76
0.59,0.71,0.76,0.73,0.76
0.59,0.71,0.76,0.73,0.76
0.59,0.71,0.76,0.73,0.76
0.59,0.71,0.76,0.73,0.76
0.59,0.71,0.76,0.73,0.75
0.59,0.71,0.76,0.73,0.75
0.59,0.71,0.77,0.75,0.75
0.61,0.75,0.81,0.78,0.75
0.61,0.75,0.81,0.78,0.76
0.61,0.75,0.83,0.79,0.76
0.61,0.75,0.83,0.79,0.76
0.61,0.75,0.83,0.79,0.76
0.59,0.71,0.81,0.77,0.76
0.57,0.68,0.79,0.75,0.75
0.59,0.71,0.83,0.79,0.75
0.59,0.71,0.83,0.79,0.75
0.59,0.71,0.83,0.79,0.75
0.59,0.71,0.83,0.79,0.75
0.61,0.75,0.86,0.82,0.76
0.63,0.78,0.89,0.86,0.76
0.63,0.78,0.89,0.86,0.76
0.63,0.78,0.89,0.86,0.76
0.61,0.75,0.87,0.84,0.75
0.59,0.71,0.87,0.82,0.75
0.59,0.71,0.84,0.81,0.73
0.59,0.71,0.84,0.81,0.73
0.59,0.71,0.83,0.8,0.73
0.59,0.71,0.81,0.79,0.71
0.59,0.71,0.81,0.79,0.71
0.57,0.68,0.77,0.74,0.69
0.59,0.71,0.79,0.76,0.69
0.61,0.75,0.79,0.77,0.69
0.63,0.78,0.81,0.79,0.67
0.65,0.81,0.83,0.81,0.65
0.65,0.81,0.83,0.81,0.63
0.67,0.84,0.86,0.83,0.63
0.65,0.81,0.83,0.8,0.61
0.65,0.81,0.81,0.8,0.59
0.65,0.81,0.81,0.8,0.61
0.67,0.84,0.85,0.83,0.63
0.65,0.81,0.82,0.8,0.63
0.63,0.78,0.79,0.77,0.63
0.61,0.75,0.75,0.74,0.63
0.61,0.75,0.75,0.74,0.63
0.59,0.71,0.72,0.7,0.61
0.57,0.68,0.68,0.67,0.59
0.57,0.68,0.68,0.67,0.59
0.55,0.65,0.65,0.64,0.59
0.55,0.65,0.66,0.64,0.59
0.55,0.65,0.65,0.64,0.57
0.55,0.65,0.65,0.63,0.57
0.55,0.65,0.65,0.63,0.57
0.55,0.65,0.65,0.64,0.57
0.53,0.62,0.62,0.59,0.57
0.55,0.65,0.63,0.61,0.59
0.55,0.65,0.64,0.62,0.61
0.53,0.62,0.6,0.59,0.59
0.51,0.58,0.57,0.55,0.57
0.51,0.58,0.58,0.57,0.57
0.51,0.58,0.58,0.57,0.57
0.51,0.58,0.57,0.55,0.55
0.51,0.58,0.57,0.55,0.55
0.51,0.58,0.57,0.54,0.55
0.53,0.62,0.6,0.57,0.57
0.55,0.65,0.63,0.61,0.59
0.55,0.65,0.63,0.61,0.59
0.55,0.65,0.63,0.62,0.59
0.53,0.62,0.59,0.58,0.57
0.53,0.62,0.58,0.58,0.57
0.53,0.62,0.6,0.59,0.57
0.53,0.62,0.58,0.57,0.57
0.55,0.65,0.61,0.6,0.57
0.53,0.62,0.57,0.57,0.55
0.53,0.62,0.56,0.56,0.55
0.55,0.65,0.58,0.59,0.57
0.57,0.68,0.61,0.62,0.59
0.57,0.68,0.62,0.63,0.59
0.59,0.71,0.66,0.67,0.61
0.59,0.71,0.68,0.68,0.63
0.61,0.75,0.7,0.71,0.65
0.63,0.78,0.74,0.74,0.67
0.63,0.78,0.74,0.75,0.67
0.61,0.75,0.72,0.73,0.67
0.61,0.75,0.73,0.74,0.69
0.61,0.75,0.73,0.74,0.71
0.59,0.71,0.72,0.72,0.71
0.57,0.68,0.68,0.69,0.71
0.59,0.71,0.71,0.71,0.73
0.59,0.71,0.72,0.72,0.75
0.61,0.75,0.75,0.75,0.75
0.61,0.75,0.75,0.75,0.75
0.61,0.75,0.75,0.76,0.73
0.63,0.78,0.78,0.78,0.73
0.65,0.81,0.81,0.8,0.71
0.65,0.81,0.81,0.8,0.71
0.65,0.81,0.81,0.8,0.71
0.67,0.84,0.84,0.83,0.73
0.67,0.84,0.82,0.83,0.73
0.67,0.84,0.83,0.83,0.73
0.69,0.88,0.84,0.85,0.75
0.69,0.88,0.86,0.86,0.76
0.69,0.88,0.88,0.86,0.76
0.69,0.88,0.87,0.86,0.76
0.67,0.84,0.84,0.83,0.76
0.67,0.84,0.84,0.83,0.75
0.65,0.81,0.82,0.81,0.75
0.67,0.84,0.86,0.84,0.75
0.67,0.84,0.85,0.83,0.75
0.69,0.88,0.88,0.86,0.76
0.67,0.84,0.84,0.82,0.75
0.65,0.81,0.8,0.79,0.73
0.65,0.81,0.81,0.81,0.73
0.67,0.84,0.84,0.83,0.73
0.65,0.81,0.83,0.81,0.73
0.65,0.81,0.83,0.81,0.73
0.65,0.81,0.83,0.81,0.73
0.65,0.81,0.83,0.81,0.73
0.63,0.78,0.79,0.78,0.73
0.65,0.81,0.83,0.81,0.75
0.65,0.81,0.84,0.82,0.75
0.65,0.81,0.84,0.82,0.75
0.63,0.78,0.83,0.8,0.75
0.61,0.75,0.8,0.78,0.73
0.63,0.78,0.84,0.81,0.75
0.63,0.78,0.85,0.82,0.75
0.63,0.78,0.85,0.82,0.75
0.63,0.78,0.86,0.82,0.75
0.63,0.78,0.83,0.81,0.75
0.63,0.78,0.81,0.8,0.75
0.61,0.75,0.78,0.77,0.75
0.61,0.75,0.78,0.77,0.75
0.61,0.75,0.78,0.77,0.75
0.59,0.71,0.74,0.73,0.73
0.59,0.71,0.74,0.73,0.73
0.59,0.71,0.74,0.73,0.73
0.57,0.68,0.71,0.7,0.71
0.57,0.68,0.72,0.71,0.73
0.59,0.71,0.75,0.75,0.75
0.59,0.71,0.75,0.75,0.75
0.61,0.75,0.77,0.77,0.75
0.61,0.75,0.76,0.76,0.75
0.59,0.71,0.74,0.74,0.75
0.61,0.75,0.75,0.75,0.76
0.61,0.75,0.76,0.76,0.76
0.61,0.75,0.77,0.77,0.78
0.61,0.75,0.77,0.77,0.76
0.63,0.78,0.81,0.8,0.78
0.63,0.78,0.81,0.81,0.78
0.63,0.78,0.83,0.81,0.78
0.65,0.81,0.85,0.83,0.78
0.65,0.81,0.88,0.84,0.78
0.65,0.81,0.88,0.84,0.78
0.65,0.81,0.85,0.83,0.78
0.65,0.81,0.85,0.82,0.78
0.67,0.84,0.88,0.85,0.78
0.69,0.88,0.89,0.88,0.8
0.71,0.91,0.95,0.91,0.8
0.69,0.88,0.93,0.88,0.78
0.69,0.88,0.93,0.89,0.8
0.67,0.84,0.88,0.86,0.78
0.69,0.88,0.91,0.89,0.8
0.71,0.91,0.92,0.91,0.82
0.73,0.94,0.94,0.93,0.84
0.71,0.91,0.92,0.9,0.82
0.71,0.91,0.91,0.89,0.8
0.69,0.88,0.88,0.87,0.8
0.67,0.84,0.85,0.85,0.8
0.65,0.81,0.84,0.83,0.8
0.67,0.84,0.86,0.85,0.8
0.65,0.81,0.84,0.83,0.8
0.65,0.81,0.84,0.83,0.8
0.63,0.78,0.8,0.78,0.78
0.63,0.78,0.83,0.8,0.78
0.65,0.81,0.84,0.82,0.8
0.65,0.81,0.84,0.82,0.8
0.67,0.84,0.87,0.85,0.82
0.65,0.81,0.85,0.82,0.82
0.65,0.81,0.85,0.82,0.82
0.65,0.81,0.86,0.83,0.8
0.63,0.78,0.8,0.8,0.78
0.65,0.81,0.84,0.83,0.78
0.63,0.78,0.84,0.82,0.76
0.61,0.75,0.81,0.79,0.75
0.63,0.78,0.84,0.82,0.76
0.65,0.81,0.86,0.84,0.78
0.63,0.78,0.82,0.81,0.76
0.63,0.78,0.81,0.81,0.76
0.65,0.81,0.83,0.83,0.76
0.65,0.81,0.83,0.83,0.76
0.65,0.81,0.83,0.84,0.76
0.65,0.81,0.83,0.84,0.76
0.65,0.81,0.84,0.84,0.76
0.65,0.81,0.83,0.83,0.75
0.63,0.78,0.8,0.81,0.73
0.63,0.78,0.8,0.81,0.73
0.63,0.78,0.8,0.8,0.73
0.61,0.75,0.79,0.79,0.75
0.59,0.71,0.76,0.75,0.73
0.57,0.68,0.74,0.72,0.71
0.55,0.65,0.74,0.7,0.69
0.53,0.62,0.7,0.67,0.67
0.53,0.62,0.69,0.67,0.67
0.53,0.62,0.69,0.66,0.67
0.51,0.58,0.69,0.66,0.67
0.49,0.55,0.65,0.63,0.67
0.49,0.55,0.65,0.63,0.67
0.49,0.55,0.65,0.61,0.65
0.47,0.52,0.63,0.59,0.63
0.47,0.52,0.64,0.6,0.63
0.49,0.55,0.69,0.64,0.63
0.49,0.55,0.69,0.64,0.65
0.47,0.52,0.66,0.62,0.65
0.47,0.52,0.65,0.62,0.65
0.47,0.52,0.64,0.61,0.65
0.49,0.55,0.68,0.65,0.67
0.49,0.55,0.7,0.66,0.69
0.51,0.58,0.72,0.69,0.69
0.51,0.58,0.71,0.67,0.67
0.53,0.62,0.73,0.69,0.67
0.53,0.62,0.73,0.69,0.67
0.55,0.65,0.76,0.72,0.67
0.55,0.65,0.76,0.72,0.67
0.57,0.68,0.79,0.75,0.69
0.59,0.71,0.8,0.77,0.69
0.59,0.71,0.8,0.77,0.69
0.59,0.71,0.8,0.77,0.69
0.59,0.71,0.8,0.77,0.69
0.59,0.71,0.8,0.77,0.67
0.57,0.68,0.77,0.75,0.67
0.55,0.65,0.75,0.73,0.69
0.57,0.68,0.81,0.77,0.71
0.55,0.65,0.79,0.76,0.69
0.57,0.68,0.83,0.78,0.71
0.57,0.68,0.82,0.76,0.71
0.57,0.68,0.83,0.77,0.71
0.57,0.68,0.83,0.77,0.71
0.57,0.68,0.84,0.79,0.73
0.57,0.68,0.87,0.82,0.73
0.57,0.68,0.85,0.81,0.73
0.55,0.65,0.8,0.77,0.73
0.53,0.62,0.78,0.74,0.71
0.51,0.58,0.75,0.71,0.69
0.51,0.58,0.75,0.72,0.69
0.53,0.62,0.76,0.73,0.71
0.55,0.65,0.79,0.77,0.73
0.53,0.62,0.75,0.73,0.71
0.51,0.58,0.72,0.7,0.71
0.51,0.58,0.73,0.7,0.71
0.53,0.62,0.76,0.74,0.73
0.55,0.65,0.77,0.74,0.75
0.55,0.65,0.75,0.74,0.75
0.55,0.65,0.75,0.74,0.75
0.55,0.65,0.75,0.73,0.75
0.53,0.62,0.71,0.69,0.73
0.55,0.65,0.71,0.71,0.73
0.57,0.68,0.75,0.74,0.73
0.57,0.68,0.75,0.74,0.73
0.55,0.65,0.72,0.7,0.75
0.57,0.68,0.73,0.72,0.76
0.57,0.68,0.71,0.7,0.76
0.55,0.65,0.68,0.66,0.75
0.57,0.68,0.7,0.68,0.75
0.59,0.71,0.72,0.71,0.75
0.57,0.68,0.7,0.68,0.75
0.55,0.65,0.67,0.66,0.73
0.53,0.62,0.64,0.63,0.73
0.53,0.62,0.63,0.61,0.71
0.51,0.58,0.6,0.58,0.69
0.53,0.62,0.63,0.62,0.71
0.51,0.58,0.6,0.59,0.71
0.51,0.58,0.6,0.59,0.71
0.49,0.55,0.56,0.56,0.69
0.49,0.55,0.56,0.56,0.69
0.49,0.55,0.57,0.56,0.69
0.49,0.55,0.56,0.56,0.69
0.47,0.52,0.53,0.53,0.67
0.47,0.52,0.53,0.53,0.67
0.45,0.48,0.5,0.49,0.65
0.47,0.52,0.54,0.53,0.67
0.49,0.55,0.56,0.56,0.67
0.51,0.58,0.59,0.59,0.67
0.51,0.58,0.59,0.59,0.67
0.53,0.62,0.62,0.62,0.69
0.53,0.62,0.62,0.62,0.69
0.55,0.65,0.65,0.64,0.71
0.55,0.65,0.65,0.64,0.71
0.55,0.65,0.65,0.64,0.71
0.55,0.65,0.64,0.64,0.69
0.55,0.65,0.63,0.63,0.69
0.53,0.62,0.62,0.61,0.69
0.55,0.65,0.66,0.64,0.69
0.57,0.68,0.69,0.67,0.71
0.57,0.68,0.69,0.66,0.71
0.57,0.68,0.69,0.67,0.71
0.57,0.68,0.7,0.67,0.71
0.57,0.68,0.7,0.67,0.71
0.59,0.71,0.73,0.7,0.73
0.61,0.75,0.76,0.74,0.73
0.61,0.75,0.76,0.73,0.71
0.61,0.75,0.76,0.73,0.71
0.59,0.71,0.75,0.71,0.69
0.61,0.75,0.77,0.74,0.71
0.63,0.78,0.8,0.76,0.71
0.63,0.78,0.83,0.77,0.71
0.63,0.78,0.83,0.77,0.71
0.63,0.78,0.83,0.77,0.71
0.63,0.78,0.82,0.77,0.71
0.63,0.78,0.8,0.76,0.71
0.65,0.81,0.83,0.79,0.71
0.65,0.81,0.82,0.78,0.71
0.65,0.81,0.83,0.78,0.71
0.65,0.81,0.85,0.8,0.73
0.65,0.81,0.85,0.8,0.73
0.65,0.81,0.85,0.8,0.73
0.67,0.84,0.88,0.83,0.73
0.67,0.84,0.85,0.82,0.73
0.69,0.88,0.88,0.84,0.73
0.69,0.88,0.89,0.85,0.73
0.71,0.91,0.91,0.87,0.75
0.71,0.91,0.91,0.87,0.73
0.73,0.94,0.95,0.89,0.73
0.71,0.91,0.91,0.85,0.71
0.73,0.94,0.94,0.87,0.71
0.73,0.94,0.94,0.87,0.71
0.73,0.94,0.94,0.87,0.71
0.73,0.94,0.95,0.88,0.71
0.75,0.98,0.96,0.9,0.71
0.73,0.94,0.93,0.87,0.69
0.75,0.98,0.96,0.89,0.71
0.73,0.94,0.93,0.86,0.69
0.71,0.91,0.89,0.84,0.67
0.71,0.91,0.89,0.83,0.67
0.71,0.91,0.89,0.83,0.67
0.71,0.91,0.89,0.84,0.67
0.71,0.91,0.89,0.84,0.67
0.69,0.88,0.86,0.82,0.65
0.69,0.88,0.86,0.82,0.65
0.69,0.88,0.86,0.82,0.65
0.71,0.91,0.9,0.85,0.67
0.71,0.91,0.9,0.86,0.67
0.71,0.91,0.9,0.87,0.67
0.71,0.91,0.9,0.87,0.67
0.71,0.91,0.9,0.87,0.67
0.71,0.91,0.9,0.86,0.67
0.71,0.91,0.89,0.86,0.65
0.69,0.88,0.86,0.83,0.65
0.69,0.88,0.86,0.83,0.65
0.67,0.84,0.82,0.79,0.63
0.65,0.81,0.8,0.76,0.63
0.67,0.84,0.81,0.78,0.65
0.67,0.84,0.8,0.78,0.65
0.67,0.84,0.81,0.79,0.67
0.65,0.81,0.79,0.77,0.67
0.63,0.78,0.78,0.76,0.67
0.63,0.78,0.77,0.75,0.67
0.65,0.81,0.8,0.79,0.69
0.65,0.81,0.8,0.78,0.69
0.65,0.81,0.81,0.8,0.69
0.65,0.81,0.81,0.8,0.69
0.65,0.81,0.8,0.79,0.69
0.65,0.81,0.81,0.8,0.69
0.67,0.84,0.85,0.83,0.71
0.67,0.84,0.84,0.83,0.69
0.67,0.84,0.83,0.83,0.69
0.67,0.84,0.82,0.82,0.69
0.67,0.84,0.82,0.82,0.69
0.69,0.88,0.85,0.85,0.71
0.67,0.84,0.83,0.83,0.71
0.69,0.88,0.85,0.87,0.73
0.69,0.88,0.85,0.87,0.73
0.69,0.88,0.85,0.86,0.75
0.67,0.84,0.82,0.83,0.75
0.67,0.84,0.82,0.83,0.75
0.67,0.84,0.83,0.84,0.76
0.67,0.84,0.83,0.84,0.76
0.67,0.84,0.83,0.84,0.76
0.67,0.84,0.83,0.83,0.76
0.67,0.84,0.85,0.84,0.78
0.69,0.88,0.88,0.88,0.8
0.69,0.88,0.89,0.89,0.8
0.69,0.88,0.89,0.92,0.82
0.69,0.88,0.9,0.96,0.82
0.69,0.88,0.9,0.96,0.82
0.69,0.88,0.87,0.95,0.8
0.69,0.88,0.86,0.94,0.8
0.67,0.84,0.84,0.89,0.78
0.67,0.84,0.84,0.88,0.8
0.67,0.84,0.84,0.88,0.8
0.65,0.81,0.81,0.84,0.8
0.65,0.81,0.81,0.83,0.8
0.67,0.84,0.84,0.86,0.82
0.67,0.84,0.84,0.83,0.82
0.67,0.84,0.83,0.83,0.82
0.67,0.84,0.83,0.82,0.8
0.69,0.88,0.86,0.87,0.82
0.69,0.88,0.86,0.87,0.84
0.71,0.91,0.89,0.9,0.84
0.71,0.91,0.9,0.91,0.84
0.73,0.94,0.93,0.96,0.86
0.73,0.94,0.93,0.95,0.86
0.71,0.91,0.91,0.92,0.86
0.71,0.91,0.91,0.92,0.86
0.73,0.94,0.94,0.93,0.86
0.75,0.98,0.97,0.96,0.86
0.75,0.98,0.95,0.94,0.86
0.75,0.98,0.96,0.95,0.86
0.75,0.98,0.95,0.94,0.86
0.73,0.94,0.91,0.91,0.84
0.73,0.94,0.91,0.9,0.84
0.71,0.91,0.88,0.86,0.82
0.71,0.91,0.88,0.87,0.82
0.69,0.88,0.85,0.84,0.8
0.69,0.88,0.83,0.83,0.8
0.71,0.91,0.86,0.85,0.82
0.69,0.88,0.83,0.82,0.8
0.67,0.84,0.8,0.8,0.8
0.67,0.84,0.79,0.79,0.8
0.67,0.84,0.81,0.8,0.8
0.69,0.88,0.81,0.81,0.78
0.67,0.84,0.76,0.77,0.76
0.67,0.84,0.77,0.78,0.76
0.67,0.84,0.78,0.78,0.76
0.69,0.88,0.81,0.81,0.76
0.69,0.88,0.81,0.81,0.76
0.69,0.88,0.81,0.81,0.76
0.69,0.88,0.8,0.8,0.76
0.69,0.88,0.8,0.8,0.76
0.69,0.88,0.81,0.8,0.76
0.69,0.88,0.81,0.8,0.76
0.67,0.84,0.77,0.77,0.76
0.67,0.84,0.77,0.78,0.76
0.69,0.88,0.8,0.8,0.76
0.69,0.88,0.79,0.8,0.76
0.69,0.88,0.79,0.8,0.76
0.69,0.88,0.81,0.81,0.78
0.69,0.88,0.83,0.82,0.78
0.71,0.91,0.84,0.85,0.8
0.73,0.94,0.87,0.86,0.8
0.73,0.94,0.87,0.87,0.8
0.73,0.94,0.87,0.87,0.78
0.71,0.91,0.85,0.84,0.76
0.71,0.91,0.85,0.83,0.76
0.73,0.94,0.89,0.87,0.76
0.71,0.91,0.88,0.86,0.76
0.69,0.88,0.84,0.82,0.78
0.69,0.88,0.84,0.82,0.78
0.69,0.88,0.84,0.82,0.78
0.69,0.88,0.84,0.82,0.78
0.69,0.88,0.84,0.82,0.78
0.69,0.88,0.86,0.83,0.78
0.71,0.91,0.89,0.86,0.78
0.71,0.91,0.89,0.87,0.78
0.69,0.88,0.87,0.85,0.78
0.67,0.84,0.84,0.83,0.78
0.67,0.84,0.84,0.83,0.78
0.69,0.88,0.87,0.87,0.78
0.69,0.88,0.88,0.87,0.78
0.69,0.88,0.9,0.88,0.78
0.69,0.88,0.9,0.88,0.78
0.69,0.88,0.9,0.89,0.78
0.71,0.91,0.94,0.92,0.8
0.71,0.91,0.94,0.92,0.8
0.73,0.94,0.96,0.94,0.82
0.71,0.91,0.96,0.93,0.8
0.69,0.88,0.94,0.91,0.78
0.71,0.91,0.96,0.93,0.78
0.71,0.91,0.95,0.93,0.76
0.71,0.91,0.95,0.93,0.76
0.71,0.91,0.95,0.93,0.76
0.71,0.91,0.95,0.94,0.78
0.71,0.91,0.95,0.94,0.8
0.69,0.88,0.91,0.9,0.78
0.67,0.84,0.86,0.87,0.76
0.65,0.81,0.83,0.83,0.75
0.67,0.84,0.86,0.86,0.76
0.67,0.84,0.87,0.87,0.76
0.65,0.81,0.84,0.84,0.76
0.63,0.78,0.79,0.8,0.75
0.61,0.75,0.78,0.78,0.75
0.59,0.71,0.74,0.75,0.75
0.61,0.75,0.77,0.77,0.73
0.61,0.75,0.77,0.77,0.73
0.61,0.75,0.76,0.76,0.73
0.63,0.78,0.78,0.78,0.75
0.61,0.75,0.74,0.75,0.73
0.59,0.71,0.71,0.71,0.71
0.59,0.71,0.71,0.7,0.71
0.57,0.68,0.68,0.67,0.71
0.55,0.65,0.65,0.63,0.69
0.53,0.62,0.63,0.61,0.69
0.55,0.65,0.66,0.63,0.71
0.57,0.68,0.7,0.66,0.73
0.57,0.68,0.7,0.66,0.73
0.55,0.65,0.66,0.63,0.73
0.57,0.68,0.69,0.66,0.73
0.59,0.71,0.72,0.69,0.73
0.59,0.71,0.72,0.67,0.73
0.57,0.68,0.68,0.64,0.71
0.55,0.65,0.65,0.61,0.69
0.53,0.62,0.61,0.57,0.67
0.53,0.62,0.61,0.58,0.67
0.51,0.58,0.57,0.56,0.65
0.51,0.58,0.58,0.56,0.63
0.53,0.62,0.59,0.58,0.63
0.55,0.65,0.62,0.61,0.63
0.53,0.62,0.58,0.58,0.63
0.53,0.62,0.62,0.6,0.65
0.51,0.58,0.58,0.57,0.65
0.49,0.55,0.54,0.53,0.63
0.51,0.58,0.55,0.55,0.65
