baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.47,0.51,0.53,0.58,0.47
0.47,0.51,0.53,0.58,0.47
0.46,0.51,0.52,0.58,0.46
0.46,0.5,0.52,0.57,0.46
0.46,0.5,0.52,0.57,0.46
0.46,0.5,0.52,0.57,0.46
0.46,0.5,0.52,0.57,0.46
0.46,0.5,0.52,0.57,0.46
0.46,0.5,0.52,0.57,0.46
0.46,0.5,0.52,0.57,0.46
0.46,0.5,0.52,0.57,0.46
0.46,0.5,0.52,0.57,0.46
0.46,0.5,0.51,0.56,0.46
0.46,0.5,0.52,0.57,0.46
0.46,0.5,0.51,0.56,0.46
0.46,0.5,0.52,0.56,0.46
0.46,0.5,0.52,0.57,0.46
0.46,0.5,0.52,0.56,0.46
0.46,0.5,0.52,0.56,0.46
0.46,0.5,0.51,0.56,0.46
0.46,0.5,0.51,0.56,0.46
0.46,0.49,0.51,0.56,0.46
0.45,0.49,0.51,0.56,0.46
0.46,0.49,0.51,0.56,0.46
0.46,0.5,0.51,0.56,0.46
0.46,0.49,0.51,0.56,0.46
0.46,0.49,0.51,0.56,0.46
0.46,0.49,0.51,0.55,0.46
0.45,0.49,0.5,0.55,0.45
0.45,0.49,0.5,0.55,0.45
0.45,0.49,0.5,0.55,0.45
0.45,0.49,0.5,0.55,0.45
0.45,0.49,0.5,0.55,0.45
0.45,0.49,0.5,0.54,0.45
0.45,0.49,0.5,0.54,0.45
0.45,0.48,0.5,0.54,0.45
0.45,0.48,0.49,0.54,0.45
0.45,0.48,0.5,0.54,0.45
0.45,0.48,0.5,0.54,0.45
0.45,0.48,0.5,0.54,0.45
0.45,0.48,0.5,0.54,0.45
0.45,0.48,0.49,0.54,0.45
0.45,0.48,0.49,0.54,0.45
0.45,0.48,0.49,0.54,0.45
0.45,0.48,0.49,0.54,0.45
0.45,0.48,0.49,0.54,0.45
0.45,0.48,0.49,0.54,0.45
0.45,0.48,0.49,0.53,0.44
0.45,0.48,0.49,0.53,0.44
0.45,0.48,0.49,0.53,0.44
0.44,0.47,0.49,0.53,0.44
0.44,0.47,0.49,0.53,0.44
0.44,0.47,0.48,0.53,0.44
0.44,0.47,0.48,0.53,0.44
0.44,0.47,0.48,0.53,0.44
0.44,0.47,0.48,0.52,0.44
0.44,0.47,0.48,0.52,0.44
0.44,0.46,0.48,0.52,0.44
0.44,0.46,0.47,0.52,0.43
0.44,0.46,0.48,0.52,0.44
0.44,0.46,0.48,0.52,0.43
0.44,0.46,0.48,0.52,0.43
0.44,0.47,0.48,0.52,0.43
0.44,0.46,0.48,0.52,0.43
0.44,0.46,0.48,0.52,0.43
0.44,0.46,0.48,0.51,0.43
0.44,0.46,0.47,0.51,0.43
0.44,0.46,0.47,0.51,0.43
0.43,0.46,0.47,0.51,0.43
0.43,0.46,0.47,0.51,0.43
0.43,0.45,0.47,0.51,0.43
0.43,0.46,0.47,0.51,0.43
0.43,0.46,0.47,0.51,0.43
0.43,0.45,0.47,0.51,0.42
0.43,0.45,0.46,0.5,0.42
0.43,0.45,0.47,0.5,0.42
0.43,0.45,0.46,0.5,0.42
0.43,0.45,0.47,0.5,0.42
0.43,0.45,0.47,0.5,0.42
0.43,0.46,0.47,0.51,0.42
0.43,0.46,0.47,0.51,0.42
0.43,0.46,0.47,0.51,0.42
0.43,0.45,0.47,0.5,0.42
0.43,0.45,0.47,0.5,0.42
0.43,0.46,0.47,0.5,0.42
0.43,0.45,0.47,0.5,0.42
0.43,0.45,0.46,0.5,0.42
0.43,0.45,0.47,0.5,0.42
0.43,0.45,0.46,0.5,0.42
0.43,0.45,0.46,0.49,0.41
0.43,0.44,0.46,0.49,0.41
0.42,0.44,0.45,0.49,0.41
0.42,0.44,0.45,0.49,0.41
0.42,0.44,0.45,0.49,0.41
0.42,0.44,0.45,0.48,0.41
0.42,0.43,0.45,0.48,0.4
0.42,0.43,0.45,0.48,0.4
0.42,0.43,0.45,0.48,0.4
0.42,0.43,0.44,0.48,0.4
0.42,0.43,0.44,0.48,0.4
0.42,0.43,0.44,0.48,0.4
0.41,0.42,0.44,0.48,0.4
0.41,0.42,0.44,0.47,0.4
0.41,0.42,0.44,0.47,0.4
0.42,0.43,0.44,0.47,0.4
0.42,0.43,0.44,0.48,0.4
0.42,0.43,0.44,0.48,0.4
0.42,0.43,0.44,0.48,0.4
0.42,0.43,0.44,0.48,0.4
0.42,0.43,0.44,0.48,0.4
0.42,0.43,0.44,0.48,0.4
0.42,0.43,0.44,0.47,0.4
0.42,0.43,0.44,0.47,0.4
0.42,0.43,0.44,0.48,0.4
0.42,0.43,0.44,0.48,0.4
0.42,0.43,0.44,0.47,0.4
0.41,0.42,0.44,0.47,0.39
0.41,0.42,0.43,0.47,0.39
0.41,0.42,0.43,0.47,0.39
0.41,0.42,0.43,0.47,0.39
0.41,0.42,0.43,0.47,0.39
0.41,0.42,0.43,0.46,0.39
0.41,0.42,0.43,0.46,0.39
0.41,0.42,0.43,0.47,0.39
0.41,0.42,0.44,0.47,0.39
0.41,0.42,0.44,0.47,0.39
0.41,0.42,0.44,0.47,0.39
0.41,0.42,0.44,0.47,0.39
0.42,0.43,0.44,0.47,0.4
0.42,0.43,0.44,0.47,0.4
0.42,0.43,0.44,0.47,0.4
0.42,0.43,0.44,0.47,0.4
0.41,0.42,0.44,0.47,0.4
0.42,0.43,0.44,0.47,0.4
0.41,0.42,0.44,0.47,0.4
0.41,0.42,0.43,0.47,0.39
0.41,0.42,0.43,0.46,0.39
0.41,0.42,0.43,0.46,0.39
0.41,0.42,0.43,0.46,0.39
0.41,0.42,0.43,0.46,0.39
0.41,0.42,0.43,0.46,0.39
0.41,0.42,0.43,0.46,0.39
0.41,0.42,0.43,0.46,0.39
0.41,0.42,0.43,0.46,0.39
0.41,0.42,0.43,0.46,0.4
0.41,0.42,0.43,0.46,0.39
0.41,0.42,0.43,0.46,0.39
0.41,0.41,0.43,0.45,0.39
0.41,0.41,0.43,0.45,0.39
0.41,0.41,0.43,0.45,0.39
